demo_id,role,hidden_label,classifier_score,transition_count,selected_transition_count,selected_fraction,margin_mean,margin_p25,margin_p50,margin_p75
demo_0,extra_masked,bad,0.389273,122,0,0.000000,0.118388,-0.192694,0.099693,0.570220
demo_1,anchor,labeled_or_anchor,1.000000,122,122,1.000000,,,,
demo_2,extra_masked,bad,0.139919,94,0,0.000000,-1.024078,-2.067510,-0.326269,-0.186491
demo_3,anchor,labeled_or_anchor,0.635672,115,115,1.000000,,,,
demo_6,extra_masked,bad,0.463588,114,0,0.000000,-0.733383,-0.674681,-0.481176,-0.352169
demo_7,anchor,labeled_or_anchor,0.763375,124,124,1.000000,,,,
demo_8,extra_masked,bad,0.505421,100,0,0.000000,0.089768,0.002649,0.143029,0.353381
demo_10,extra_masked,bad,0.300260,130,0,0.000000,0.099930,-0.235404,0.252919,0.506831
demo_12,extra_masked,bad,0.317046,104,0,0.000000,-0.248404,-0.113302,0.034457,0.151596
demo_13,anchor,labeled_or_anchor,0.897704,121,121,1.000000,,,,
demo_14,extra_masked,bad,0.354921,100,0,0.000000,-1.058728,-1.308045,-1.045338,-0.467806
demo_15,extra_masked,positive,0.776196,121,34,0.280992,0.420031,-0.995190,-0.804618,2.133145
demo_16,extra_masked,bad,0.077408,101,0,0.000000,-1.395890,-1.500479,-0.835592,-0.377685
demo_18,extra_masked,bad,0.400075,84,0,0.000000,-0.855915,-2.563579,0.117146,0.332363
demo_20,extra_masked,bad,0.314830,100,0,0.000000,-1.039012,-1.622288,-0.835561,0.079717
demo_21,anchor,labeled_or_anchor,0.667096,100,100,1.000000,,,,
demo_22,extra_masked,bad,0.420136,97,0,0.000000,-0.621051,-1.963201,0.313073,0.517500
demo_23,anchor,labeled_or_anchor,0.737414,103,103,1.000000,,,,
demo_24,extra_masked,bad,0.163810,107,0,0.000000,-0.685053,-1.107257,-0.177034,0.301921
demo_25,anchor,labeled_or_anchor,0.621877,129,129,1.000000,,,,
demo_26,extra_masked,bad,0.233740,103,0,0.000000,-0.470173,-0.512335,-0.357866,-0.164896
demo_32,extra_masked,bad,0.443338,98,0,0.000000,-0.628750,-2.044664,0.075960,0.406099
demo_33,anchor,labeled_or_anchor,1.000000,107,107,1.000000,,,,
demo_34,extra_masked,bad,0.341663,122,0,0.000000,-0.453411,-1.414352,0.122353,0.746026
demo_36,extra_masked,bad,0.377525,120,0,0.000000,-0.574649,-1.310374,0.040274,0.260370
demo_37,anchor,labeled_or_anchor,0.718693,98,98,1.000000,,,,
demo_40,extra_masked,bad,0.560184,102,0,0.000000,0.086182,-0.571972,0.940212,1.083609
demo_42,extra_masked,bad,0.710199,103,0,0.000000,0.046102,-0.082468,0.335255,0.478857
demo_46,extra_masked,bad,0.502271,122,0,0.000000,-0.256121,-0.654027,-0.130493,0.535920
demo_48,extra_masked,bad,0.114183,117,0,0.000000,-0.324581,-0.311210,-0.172177,-0.078679
demo_50,extra_masked,bad,0.068580,112,0,0.000000,-1.060607,-1.605440,-0.550117,-0.090234
demo_51,extra_masked,positive,0.500290,130,51,0.392308,1.834314,-0.404352,-0.133209,5.087596
demo_55,anchor,labeled_or_anchor,0.480383,108,108,1.000000,,,,
