rank,demo_id,hidden_label,score
1,demo_0,bad,0.16453994810581207
2,demo_2,bad,0.5164322257041931
3,demo_6,bad,0.4029194116592407
4,demo_7,positive,0.8551547527313232
5,demo_8,bad,0.2723349928855896
6,demo_10,bad,0.3578631281852722
7,demo_12,bad,0.10336505621671677
8,demo_14,bad,0.45625466108322144
9,demo_17,positive,0.4251050055027008
10,demo_18,bad,0.5053336024284363
11,demo_19,positive,0.9868795871734619
12,demo_20,bad,0.029830794781446457
13,demo_21,positive,0.4821920692920685
14,demo_22,bad,0.07184464484453201
15,demo_23,positive,0.503065288066864
16,demo_24,bad,0.14069350063800812
17,demo_25,positive,0.6499195694923401
18,demo_26,bad,0.005191672593355179
19,demo_30,bad,0.09549181163311005
20,demo_32,bad,0.20026814937591553
21,demo_33,positive,0.5185099244117737
22,demo_36,bad,0.08891993016004562
23,demo_37,positive,0.5666552186012268
24,demo_40,bad,0.21782410144805908
25,demo_42,bad,0.6386791467666626
26,demo_46,bad,0.04482566937804222
27,demo_47,positive,0.41196000576019287
28,demo_48,bad,0.23248392343521118
29,demo_49,positive,0.6355632543563843
30,demo_50,bad,0.06741871684789658
31,demo_51,positive,0.5529384016990662
32,demo_54,bad,0.5098376870155334
33,demo_56,bad,0.022012880071997643
34,demo_60,bad,0.016755811870098114
35,demo_61,positive,0.40601304173469543
36,demo_62,bad,0.603872537612915
37,demo_64,bad,0.4611285626888275
38,demo_65,positive,0.7736064791679382
39,demo_66,bad,0.08605815470218658
40,demo_67,positive,0.3943162262439728
41,demo_68,bad,0.007696458138525486
42,demo_70,bad,0.6787164807319641
43,demo_73,positive,0.586197555065155
44,demo_74,bad,0.03807241469621658
45,demo_78,bad,0.030907535925507545
46,demo_79,positive,0.5586895942687988
47,demo_82,bad,0.6736716032028198
48,demo_90,bad,0.6896136403083801
49,demo_92,bad,0.9083662033081055
50,demo_94,bad,0.08197712898254395
51,demo_95,positive,0.5869486927986145
52,demo_96,bad,0.10580658167600632
53,demo_97,positive,0.7029752731323242
54,demo_100,bad,0.004024861380457878
55,demo_102,bad,0.3562594950199127
56,demo_103,positive,0.9097434878349304
57,demo_106,bad,0.4036407768726349
58,demo_108,bad,0.07564336061477661
59,demo_109,positive,0.47737786173820496
60,demo_110,bad,0.6669850945472717
61,demo_112,bad,0.011589269153773785
62,demo_114,bad,0.11940865218639374
63,demo_115,positive,0.5959488153457642
64,demo_116,bad,0.026447812095284462
65,demo_118,bad,0.5795013308525085
66,demo_120,bad,0.006734106689691544
67,demo_122,bad,0.09528849273920059
68,demo_123,positive,0.6355864405632019
69,demo_124,bad,0.5681440830230713
70,demo_125,positive,0.9713001847267151
71,demo_126,bad,0.25692978501319885
72,demo_128,bad,0.009816482663154602
73,demo_129,positive,0.42106232047080994
74,demo_130,bad,0.006903984118252993
75,demo_132,bad,0.629988431930542
76,demo_133,positive,0.9149812459945679
77,demo_134,bad,0.04670017212629318
78,demo_135,positive,0.5899805426597595
79,demo_136,bad,0.5635587573051453
80,demo_139,positive,0.7186439037322998
81,demo_140,bad,0.323249489068985
82,demo_141,positive,0.5703887343406677
83,demo_142,bad,0.5863416790962219
84,demo_143,positive,0.9784559011459351
85,demo_144,bad,0.01837923377752304
86,demo_145,positive,0.49785423278808594
87,demo_146,bad,0.1502971351146698
88,demo_148,bad,0.015726467594504356
89,demo_150,bad,0.12281209975481033
90,demo_151,positive,0.5249602198600769
91,demo_152,bad,0.06088849529623985
92,demo_155,positive,0.6401745080947876
93,demo_156,bad,0.3673613965511322
94,demo_157,positive,0.9236859083175659
95,demo_158,bad,0.4376767575740814
96,demo_159,positive,0.6039851307868958
97,demo_160,bad,0.5571010112762451
98,demo_162,bad,0.11862178146839142
99,demo_164,bad,0.5530737638473511
100,demo_165,positive,0.7518394589424133
101,demo_166,bad,0.11406148225069046
102,demo_168,bad,0.018094342201948166
103,demo_170,bad,0.05014185607433319
104,demo_171,positive,0.5225032567977905
105,demo_172,bad,0.13481317460536957
106,demo_174,bad,0.6799431443214417
107,demo_176,bad,0.4504866898059845
108,demo_178,bad,0.08327604085206985
109,demo_180,bad,0.5895060300827026
110,demo_182,bad,0.8427427411079407
111,demo_184,bad,0.5186451077461243
112,demo_185,positive,0.8974317908287048
113,demo_186,bad,0.4795604944229126
114,demo_190,bad,0.7913575768470764
115,demo_192,bad,0.009275375865399837
116,demo_195,positive,0.5609633922576904
117,demo_196,bad,0.055862586945295334
118,demo_197,positive,0.5455925464630127
119,demo_198,bad,0.20686115324497223
120,demo_199,positive,0.6991963982582092
