seed,k,rule,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_score_min,selected_score_mean,selected_score_max
0,10,top_10,10,8,2,0.8,0.8427427411079407,0.918874180316925,0.9868795871734619
0,15,top_15,15,12,3,0.8,0.7029752731323242,0.8618109663327534,0.9868795871734619
0,20,top_20,20,13,7,0.65,0.6736716032028198,0.8174152880907058,0.9868795871734619
0,25,top_25,25,16,9,0.64,0.6355864405632019,0.7831860208511352,0.9868795871734619
0,30,top_30,30,19,11,0.6333333333333333,0.5959488153457642,0.7549669563770294,0.9868795871734619
0,35,top_35,35,22,13,0.6285714285714286,0.586197555065155,0.7310852340289524,0.9868795871734619
0,40,top_40,40,24,16,0.6,0.5635587573051453,0.7109057828783989,0.9868795871734619
0,45,top_45,45,27,18,0.6,0.5529384016990662,0.6937554995218913,0.9868795871734619
0,50,top_50,50,31,19,0.62,0.5185099244117737,0.6769841706752777,0.9868795871734619
0,60,top_60,60,35,25,0.5833333333333334,0.45625466108322144,0.6456374203165373,0.9868795871734619
0,80,top_80,80,40,40,0.5,0.16453994810581207,0.5680925127118825,0.9868795871734619
