seed,k,rule,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_score_min,selected_score_mean,selected_score_max
0,10,top_10,10,10,0,1.0,0.996112048625946,0.9966787040233612,0.9973039031028748
0,15,top_15,15,15,0,1.0,0.9951804876327515,0.9963381807009379,0.9973039031028748
0,20,top_20,20,20,0,1.0,0.9939054250717163,0.995890012383461,0.9973039031028748
0,25,top_25,25,25,0,1.0,0.9933740496635437,0.995429880619049,0.9973039031028748
0,30,top_30,30,30,0,1.0,0.9927248358726501,0.9950115581353506,0.9973039031028748
0,35,top_35,35,34,1,0.9714285714285714,0.9921061396598816,0.9946228350911822,0.9973039031028748
0,40,top_40,40,39,1,0.975,0.9913274049758911,0.9942526966333389,0.9973039031028748
0,45,top_45,45,44,1,0.9777777777777777,0.9896214008331299,0.9938126034206815,0.9973039031028748
0,50,top_50,50,49,1,0.98,0.987932562828064,0.9933102893829345,0.9973039031028748
0,60,top_60,60,58,2,0.9666666666666667,0.9858752489089966,0.992235446969668,0.9973039031028748
0,80,top_80,80,74,6,0.925,0.9754545092582703,0.989384775608778,0.9973039031028748
