rank,demo_id,hidden_label,score
1,demo_35,positive,
2,demo_69,positive,
3,demo_199,positive,
4,demo_107,positive,
5,demo_41,positive,
6,demo_79,positive,
7,demo_145,positive,
8,demo_157,positive,
9,demo_31,positive,
10,demo_37,positive,
11,demo_3,positive,
12,demo_173,positive,
13,demo_131,positive,
14,demo_21,positive,
15,demo_57,positive,
16,demo_171,positive,
17,demo_153,positive,
18,demo_71,positive,
19,demo_77,positive,
20,demo_165,positive,
21,demo_101,positive,
22,demo_193,positive,
23,demo_59,positive,
24,demo_61,positive,
25,demo_183,positive,
26,demo_163,positive,
27,demo_75,positive,
28,demo_111,positive,
29,demo_65,positive,
30,demo_133,positive,
31,demo_123,positive,
32,demo_135,positive,
33,demo_27,positive,
34,demo_47,positive,
35,demo_195,positive,
36,demo_179,positive,
37,demo_91,positive,
38,demo_187,positive,
39,demo_167,positive,
40,demo_137,positive,
41,demo_19,positive,
42,demo_125,positive,
43,demo_1,positive,
44,demo_139,positive,
45,demo_151,positive,
46,demo_95,positive,
47,demo_87,positive,
48,demo_55,positive,
49,demo_181,positive,
50,demo_143,positive,
51,demo_25,positive,
52,demo_17,positive,
53,demo_113,positive,
54,demo_13,positive,
55,demo_49,positive,
56,demo_147,positive,
57,demo_9,positive,
58,demo_121,positive,
59,demo_117,positive,
60,demo_7,positive,
61,demo_43,positive,
62,demo_119,positive,
63,demo_185,positive,
64,demo_198,bad,
65,demo_51,positive,
66,demo_23,positive,
67,demo_93,positive,
68,demo_11,positive,
69,demo_97,positive,
70,demo_67,positive,
71,demo_191,positive,
72,demo_15,positive,
73,demo_184,bad,
74,demo_155,positive,
75,demo_159,positive,
76,demo_86,bad,
77,demo_83,positive,
78,demo_141,positive,
79,demo_149,positive,
80,demo_142,bad,
