rank,demo_id,hidden_label,score
1,demo_93,positive,0.9979476928710938
2,demo_41,positive,0.987655758857727
3,demo_92,bad,0.974755048751831
4,demo_182,bad,0.9258116483688354
5,demo_187,positive,0.9042763113975525
6,demo_37,positive,0.9033975601196289
7,demo_175,positive,0.8206112384796143
8,demo_141,positive,0.809912919998169
9,demo_6,bad,0.7946882247924805
10,demo_124,bad,0.7782950401306152
11,demo_65,positive,0.7602822184562683
12,demo_118,bad,0.7590543031692505
13,demo_101,positive,0.732957124710083
14,demo_87,positive,0.7240410447120667
15,demo_33,positive,0.7196492552757263
16,demo_76,bad,0.7069398760795593
17,demo_14,bad,0.6937642693519592
18,demo_145,positive,0.6917853951454163
19,demo_40,bad,0.6741263270378113
20,demo_160,bad,0.6561468839645386
21,demo_126,bad,0.647377073764801
22,demo_30,bad,0.6313110589981079
23,demo_153,positive,0.6195552945137024
24,demo_144,bad,0.6152461767196655
25,demo_75,positive,0.6094396710395813
26,demo_64,bad,0.5983502268791199
27,demo_140,bad,0.5975931882858276
28,demo_108,bad,0.5948307514190674
29,demo_190,bad,0.5884913802146912
30,demo_72,bad,0.5858824849128723
31,demo_54,bad,0.5820271968841553
32,demo_34,bad,0.5815759897232056
33,demo_111,positive,0.576985239982605
34,demo_150,bad,0.5623969435691833
35,demo_90,bad,0.5611194968223572
36,demo_137,positive,0.5522932410240173
37,demo_10,bad,0.5484218597412109
38,demo_3,positive,0.5467622876167297
39,demo_195,positive,0.5427700877189636
40,demo_159,positive,0.5135470628738403
41,demo_1,positive,0.4791359305381775
42,demo_49,positive,0.47637316584587097
43,demo_128,bad,0.47252243757247925
44,demo_50,bad,0.468692809343338
45,demo_174,bad,0.46094056963920593
46,demo_84,bad,0.4588206112384796
47,demo_184,bad,0.4586365222930908
48,demo_94,bad,0.456356406211853
49,demo_60,bad,0.4385792016983032
50,demo_156,bad,0.4382559657096863
