rank,demo_id,hidden_label,score
1,demo_3,positive,
2,demo_63,positive,
3,demo_111,positive,
4,demo_19,positive,
5,demo_59,positive,
6,demo_175,positive,
7,demo_87,positive,
8,demo_41,positive,
9,demo_143,positive,
10,demo_91,positive,
11,demo_123,positive,
12,demo_131,positive,
13,demo_69,positive,
14,demo_195,positive,
15,demo_35,positive,
16,demo_137,positive,
17,demo_101,positive,
18,demo_187,positive,
19,demo_147,positive,
20,demo_153,positive,
21,demo_37,positive,
22,demo_179,positive,
23,demo_171,positive,
24,demo_33,positive,
25,demo_65,positive,
26,demo_83,positive,
27,demo_193,positive,
28,demo_159,positive,
29,demo_145,positive,
30,demo_1,positive,
31,demo_70,bad,
32,demo_93,positive,
33,demo_167,positive,
34,demo_197,positive,
35,demo_54,bad,
36,demo_11,positive,
37,demo_142,bad,
38,demo_75,positive,
39,demo_184,bad,
40,demo_117,positive,
