rank,demo_id,hidden_label,score
1,demo_0,bad,0.8175849318504333
2,demo_2,bad,0.15892484784126282
3,demo_6,bad,0.03882235661149025
4,demo_7,positive,0.3513343930244446
5,demo_8,bad,0.4075052738189697
6,demo_9,positive,0.7407364249229431
7,demo_10,bad,0.21296986937522888
8,demo_11,positive,0.5583328604698181
9,demo_12,bad,0.4620968699455261
10,demo_13,positive,0.8463230133056641
11,demo_15,positive,0.31708890199661255
12,demo_16,bad,0.6058822274208069
13,demo_17,positive,0.95371013879776
14,demo_18,bad,0.20934747159481049
15,demo_19,positive,0.5309997200965881
16,demo_20,bad,0.7087478637695312
17,demo_21,positive,0.981046199798584
18,demo_22,bad,0.6942431330680847
19,demo_24,bad,0.4275345802307129
20,demo_25,positive,0.8760964870452881
21,demo_26,bad,0.8280057907104492
22,demo_27,positive,0.9858910441398621
23,demo_30,bad,0.5541541576385498
24,demo_32,bad,0.7232927083969116
25,demo_34,bad,0.39715853333473206
26,demo_35,positive,0.9105517268180847
27,demo_36,bad,0.46832412481307983
28,demo_40,bad,0.4819183349609375
29,demo_41,positive,0.7071127891540527
30,demo_42,bad,0.10260288417339325
31,demo_46,bad,0.36455869674682617
32,demo_48,bad,0.9562264680862427
33,demo_50,bad,0.7107645869255066
34,demo_51,positive,0.9961838722229004
35,demo_56,bad,0.739073634147644
36,demo_57,positive,0.9943203926086426
37,demo_58,bad,0.35271376371383667
38,demo_59,positive,0.8467660546302795
39,demo_60,bad,0.6265884041786194
40,demo_61,positive,0.9930229783058167
41,demo_62,bad,0.07433788478374481
42,demo_64,bad,0.6634398698806763
43,demo_65,positive,0.9631374478340149
44,demo_66,bad,0.9961884617805481
45,demo_67,positive,0.9980331063270569
46,demo_68,bad,0.5734574198722839
47,demo_73,positive,0.6370121240615845
48,demo_74,bad,0.99468994140625
49,demo_76,bad,0.6443119645118713
50,demo_77,positive,0.9552550911903381
51,demo_78,bad,0.5897784233093262
52,demo_82,bad,0.02937362529337406
53,demo_86,bad,0.4613059461116791
54,demo_87,positive,0.8045396208763123
55,demo_90,bad,0.07205560058355331
56,demo_91,positive,0.4430134892463684
57,demo_93,positive,0.4300656318664551
58,demo_94,bad,0.42837050557136536
59,demo_96,bad,0.3654853403568268
60,demo_97,positive,0.9034073352813721
61,demo_100,bad,0.5565053820610046
62,demo_102,bad,0.5156330466270447
63,demo_106,bad,0.5345361828804016
64,demo_107,positive,0.9476253390312195
65,demo_108,bad,0.6393335461616516
66,demo_110,bad,0.1704436093568802
67,demo_111,positive,0.6185830235481262
68,demo_112,bad,0.8397191166877747
69,demo_113,positive,0.9984444975852966
70,demo_114,bad,0.46056410670280457
71,demo_116,bad,0.8888446688652039
72,demo_118,bad,0.0002433623158140108
73,demo_122,bad,0.4650493264198303
74,demo_126,bad,0.5820018649101257
75,demo_128,bad,0.7110867500305176
76,demo_130,bad,0.7598767280578613
77,demo_132,bad,0.024557266384363174
78,demo_133,positive,0.5557820796966553
79,demo_134,bad,0.35838207602500916
80,demo_136,bad,0.14999035000801086
81,demo_137,positive,0.612860381603241
82,demo_138,bad,0.22233180701732635
83,demo_139,positive,0.7774465084075928
84,demo_140,bad,0.45080018043518066
85,demo_141,positive,0.9012014865875244
86,demo_142,bad,0.03468959033489227
87,demo_144,bad,0.6749466061592102
88,demo_146,bad,0.06500300019979477
89,demo_148,bad,0.6976640820503235
90,demo_149,positive,0.9964321851730347
91,demo_150,bad,0.1681121587753296
92,demo_151,positive,0.8191752433776855
93,demo_152,bad,0.595535159111023
94,demo_154,bad,0.016740109771490097
95,demo_157,positive,0.5911628603935242
96,demo_158,bad,0.2777721881866455
97,demo_159,positive,0.5185108780860901
98,demo_160,bad,0.0009099276503548026
99,demo_162,bad,0.603001594543457
100,demo_166,bad,0.8823288083076477
101,demo_167,positive,0.9958599209785461
102,demo_168,bad,0.7367534637451172
103,demo_170,bad,0.610131025314331
104,demo_172,bad,0.29409149289131165
105,demo_173,positive,0.7974258661270142
106,demo_174,bad,0.4846808612346649
107,demo_176,bad,0.47964832186698914
108,demo_178,bad,0.7283093929290771
109,demo_179,positive,0.9207228422164917
110,demo_180,bad,0.30466097593307495
111,demo_181,positive,0.8628866672515869
112,demo_182,bad,0.12806931138038635
113,demo_184,bad,0.1318126618862152
114,demo_186,bad,0.13070765137672424
115,demo_190,bad,0.12401508539915085
116,demo_191,positive,0.6776024699211121
117,demo_192,bad,0.785370409488678
118,demo_194,bad,0.5338790416717529
119,demo_196,bad,0.7858014106750488
120,demo_198,bad,0.25520458817481995
