seed,k,rule,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_score_min,selected_score_mean,selected_score_max
0,10,top_10,10,8,2,0.8,0.9954973459243774,0.9969492554664612,0.9989266991615295
0,15,top_15,15,13,2,0.8666666666666667,0.9924414753913879,0.9959630250930787,0.9989266991615295
0,20,top_20,20,18,2,0.9,0.9763413071632385,0.9921607911586762,0.9989266991615295
0,25,top_25,25,23,2,0.92,0.9618691802024841,0.987455894947052,0.9989266991615295
0,30,top_30,30,27,3,0.9,0.950874388217926,0.9817739983399709,0.9989266991615295
0,35,top_35,35,32,3,0.9142857142857143,0.9235742092132568,0.9746617640767778,0.9989266991615295
0,40,top_40,40,36,4,0.9,0.9010375738143921,0.9666751399636269,0.9989266991615295
0,45,top_45,45,40,5,0.8888888888888888,0.8711866736412048,0.9573656466272142,0.9989266991615295
0,50,top_50,50,43,7,0.86,0.8485257029533386,0.9467232215404511,0.9989266991615295
0,60,top_60,60,50,10,0.8333333333333334,0.7719871401786804,0.9225427895784378,0.9989266991615295
0,80,top_80,80,57,23,0.7125,0.64171302318573,0.8682095445692539,0.9989266991615295
