seed,k,rule,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_score_min,selected_score_mean,selected_score_max
0,10,top_10,10,6,4,0.6,0.7782950401306152,0.8897351443767547,0.9979476928710938
0,15,top_15,15,10,5,0.6666666666666666,0.7196492552757263,0.8395556926727294,0.9979476928710938
0,20,top_20,20,11,9,0.55,0.6561468839645386,0.8008049070835114,0.9979476928710938
0,25,top_25,25,13,12,0.52,0.6094396710395813,0.7655610966682435,0.9979476928710938
0,30,top_30,30,13,17,0.43333333333333335,0.5858824849128723,0.7368058482805888,0.9979476928710938
0,35,top_35,35,14,21,0.4,0.5611194968223572,0.7133794375828334,0.9979476928710938
0,40,top_40,40,18,22,0.45,0.5135470628738403,0.6918018713593483,0.9979476928710938
0,45,top_45,45,20,25,0.4444444444444444,0.46094056963920593,0.6673275503847335,0.9979476928710938
0,50,top_50,50,20,30,0.4,0.4382559657096863,0.6456077694892883,0.9979476928710938
0,60,top_60,60,20,40,0.3333333333333333,0.3163336515426636,0.5983288064599037,0.9979476928710938
0,80,top_80,80,20,60,0.25,0.14899931848049164,0.5077689377591014,0.9979476928710938
