seed,threshold_name,threshold,score_gap,effective_min,rule,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_score_min,selected_score_mean,selected_score_max
0,score_gap_posx,,0.0011098384857177734,40,score_gap_posx,70,70,0,1.0,0.9860872626304626,0.9927973994186946,0.9976680278778076
0,adaptive_posmass,461.31577579803127,0.0011098384857177734,40,adaptive_posmass_coverage_gap,70,70,0,1.0,0.9860872626304626,0.9927973994186946,0.9976680278778076
0,adaptive_masscap,461.31577579803127,0.0011098384857177734,40,adaptive_masscap_coverage_gap,70,70,0,1.0,0.9860872626304626,0.9927973994186946,0.9976680278778076
0,top_posx2,,,20,top_posx2,20,20,0,1.0,0.9955432415008545,0.996416175365448,0.9976680278778076
0,top_posx3,,,30,top_posx3,30,30,0,1.0,0.9939904808998108,0.9958527266979218,0.9976680278778076
0,top_posx4,,,40,top_posx4,40,40,0,1.0,0.9926900267601013,0.9952562779188157,0.9976680278778076
0,neg_max,0.1579708307981491,,,neg_max,802,267,535,0.3329177057356609,0.15820765495300293,0.5540104494093362,0.9976680278778076
0,mid_mean,0.5011459170142188,,,mid_mean,382,245,137,0.6413612565445026,0.5018137097358704,0.8246918710738577,0.9976680278778076
0,mid_minpos_maxneg,0.5277954861521721,,,mid_minpos_maxneg,363,243,120,0.6694214876033058,0.5286304950714111,0.8409280709655489,0.9976680278778076
0,pos_p10,0.9272027611732483,,,pos_p10,158,153,5,0.9683544303797469,0.9278542995452881,0.9762094590482833,0.9976680278778076
0,pos_min,0.8976201415061951,,,pos_min,178,169,9,0.949438202247191,0.8976823091506958,0.9692671724249807,0.9976680278778076
