case_id,case_title,split_seed,initial_demo_id,method_id,method_label,method_role,success_count,eval_episodes,success_rate,avg_trajectory_length,avg_success_length,avg_failure_length,failed_count,timeout_failure_count,timeout_failure_rate_among_failures,grasp_proxy,loop_or_miss_proxy,bad_demo_resemblance_proxy,source
union_rescue,Hard-union rescue,33,demo_105,positive_only_nn_top40,positive-only NN top40,hard positive-only support,0,5,0.000,400.0,,400.0,5,5,1.000,no_success_proxy_grasp_unobserved,timeout_or_miss_all_failures,support_gap_or_controller_failure_not_bad-demo-attributed,results/final_paper/per_seed/can_paired_pos40_bad80_split33_positive_only_nn_policy0/eval/episode_metrics.csv
union_rescue,Hard-union rescue,33,demo_105,weighted_bc_full_pool,weighted BC full pool,soft full-pool weighting,1,5,0.200,343.6,118.0,400.0,4,4,1.000,success_proxy_grasp_observed_some,timeout_or_miss_all_failures,contamination_compatible_timeout_not_verified,results/final_paper/per_seed/can_paired_pos40_bad80_split33_weighted_bc_policy0/eval/episode_metrics.csv
union_rescue,Hard-union rescue,33,demo_105,positive_nn_risk_union_top40,positive-NN/risk union top40,hard union support,5,5,1.000,118.8,118.8,,0,0,0.000,success_proxy_grasp_observed_all,no_failure_observed,not_applicable_successful,results/final_paper/ablations/v02_union_endpoint_200ep_can40/split33/positive_nn_risk_union_top40/eval_50ep/episode_metrics.csv
union_rescue,Hard-union rescue,33,demo_105,all_demo_bc_full_pool,all-demo BC full pool,unweighted full-pool cloning,0,5,0.000,400.0,,400.0,5,5,1.000,no_success_proxy_grasp_unobserved,timeout_or_miss_all_failures,contamination_compatible_timeout_not_verified,results/final_paper/per_seed/can_paired_pos40_bad80_split33_bc_all_mixed_policy0/eval/episode_metrics.csv
positive_anchor_regression,Positive-anchor regression,11,demo_39,positive_only_nn_top40,positive-only NN top40,hard positive-only support,5,5,1.000,125.2,125.2,,0,0,0.000,success_proxy_grasp_observed_all,no_failure_observed,not_applicable_successful,results/final_paper/per_seed/can_paired_pos40_bad80_split11_positive_only_nn_policy0/eval/episode_metrics.csv
positive_anchor_regression,Positive-anchor regression,11,demo_39,weighted_bc_full_pool,weighted BC full pool,soft full-pool weighting,0,5,0.000,400.0,,400.0,5,5,1.000,no_success_proxy_grasp_unobserved,timeout_or_miss_all_failures,contamination_compatible_timeout_not_verified,results/final_paper/per_seed/can_paired_pos40_bad80_split11_weighted_bc_policy0/eval/episode_metrics.csv
positive_anchor_regression,Positive-anchor regression,11,demo_39,positive_nn_risk_union_top40,positive-NN/risk union top40,hard union support,0,5,0.000,400.0,,400.0,5,5,1.000,no_success_proxy_grasp_unobserved,timeout_or_miss_all_failures,support_gap_or_controller_failure_not_bad-demo-attributed,results/final_paper/ablations/v02_union_endpoint_200ep_can40/split11/positive_nn_risk_union_top40/eval_50ep/episode_metrics.csv
positive_anchor_regression,Positive-anchor regression,11,demo_39,all_demo_bc_full_pool,all-demo BC full pool,unweighted full-pool cloning,5,5,1.000,132.8,132.8,,0,0,0.000,success_proxy_grasp_observed_all,no_failure_observed,not_applicable_successful,results/final_paper/per_seed/can_paired_pos40_bad80_split11_bc_all_mixed_policy0/eval/episode_metrics.csv
soft_pool_rescue,Soft-pool rescue,33,demo_99,positive_only_nn_top40,positive-only NN top40,hard positive-only support,0,5,0.000,400.0,,400.0,5,5,1.000,no_success_proxy_grasp_unobserved,timeout_or_miss_all_failures,support_gap_or_controller_failure_not_bad-demo-attributed,results/final_paper/per_seed/can_paired_pos40_bad80_split33_positive_only_nn_policy0/eval/episode_metrics.csv
soft_pool_rescue,Soft-pool rescue,33,demo_99,weighted_bc_full_pool,weighted BC full pool,soft full-pool weighting,5,5,1.000,123.8,123.8,,0,0,0.000,success_proxy_grasp_observed_all,no_failure_observed,not_applicable_successful,results/final_paper/per_seed/can_paired_pos40_bad80_split33_weighted_bc_policy0/eval/episode_metrics.csv
soft_pool_rescue,Soft-pool rescue,33,demo_99,positive_nn_risk_union_top40,positive-NN/risk union top40,hard union support,1,5,0.200,344.2,121.0,400.0,4,4,1.000,success_proxy_grasp_observed_some,timeout_or_miss_all_failures,support_gap_or_controller_failure_not_bad-demo-attributed,results/final_paper/ablations/v02_union_endpoint_200ep_can40/split33/positive_nn_risk_union_top40/eval_50ep/episode_metrics.csv
soft_pool_rescue,Soft-pool rescue,33,demo_99,all_demo_bc_full_pool,all-demo BC full pool,unweighted full-pool cloning,3,5,0.600,231.0,118.3,400.0,2,2,1.000,success_proxy_grasp_observed_some,timeout_or_miss_all_failures,contamination_compatible_timeout_not_verified,results/final_paper/per_seed/can_paired_pos40_bad80_split33_bc_all_mixed_policy0/eval/episode_metrics.csv
