regime_id,regime_label,row_role,method_id,method_label,method_family,support_split_count,endpoint_split_count,support_split_seeds,endpoint_split_seeds,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive,total_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,endpoint_successes,endpoint_episodes,endpoint_success_rate,endpoint_status,support_source,endpoint_source,note
can40,Can 40p/80b,primary,triage_adaptive_masscap,TRIAGE adaptive masscap,TRIAGE,3,3,11/22/33,11/22/33,190,110,80,120,240,0.579,0.917,0.333,99,150,0.660,complete_3split_endpoint,results/final_paper/ablations/can40_score_support_tradeoff.csv,results/final_paper/ablations/can40_score_support_tradeoff.csv,Frozen primary Can score/support sweep.
can40,Can 40p/80b,primary,classifier_top10,classifier top10,classifier,3,0,11/22/33,,30,26,4,120,240,0.867,0.217,0.017,,,,support_only,results/final_paper/ablations/can40_score_support_tradeoff.csv,,Frozen primary Can score/support sweep.
can40,Can 40p/80b,primary,classifier_top20,classifier top20,classifier,3,0,11/22/33,,60,51,9,120,240,0.850,0.425,0.037,,,,support_only,results/final_paper/ablations/can40_score_support_tradeoff.csv,,Frozen primary Can score/support sweep.
can40,Can 40p/80b,primary,classifier_top40,classifier top40,classifier,3,0,11/22/33,,120,85,35,120,240,0.708,0.708,0.146,,,,support_only,results/final_paper/ablations/can40_score_support_tradeoff.csv,,Frozen primary Can score/support sweep.
can40,Can 40p/80b,primary,classifier_top60,classifier top60,classifier,3,0,11/22/33,,180,108,72,120,240,0.600,0.900,0.300,,,,support_only,results/final_paper/ablations/can40_score_support_tradeoff.csv,,Frozen primary Can score/support sweep.
can40,Can 40p/80b,primary,classifier_top80,classifier top80,classifier,3,0,11/22/33,,240,116,124,120,240,0.483,0.967,0.517,,,,support_only,results/final_paper/ablations/can40_score_support_tradeoff.csv,,Frozen primary Can score/support sweep.
can40,Can 40p/80b,primary,positive_only_nn_top40,positive-only NN top40,positive-only,3,3,11/22/33,11/22/33,120,106,14,120,240,0.883,0.883,0.058,108,150,0.720,complete_3split_endpoint,results/final_paper/ablations/can40_score_support_tradeoff.csv,results/final_paper/ablations/can40_score_support_tradeoff.csv,Frozen primary Can score/support sweep.
can40,Can 40p/80b,primary,weighted_full_pool,weighted full pool,weighted,3,3,11/22/33,11/22/33,360,120,240,120,240,0.333,1.000,1.000,90,150,0.600,complete_3split_endpoint,results/final_paper/ablations/can40_score_support_tradeoff.csv,results/final_paper/ablations/can40_score_support_tradeoff.csv,Frozen primary Can score/support sweep.
can20,Can 20p/80b,diagnostic,triage_adaptive_masscap,TRIAGE adaptive masscap,TRIAGE,3,2,11/22/33,11/22,123,54,69,60,240,0.439,0.900,0.287,46,100,0.460,partial_endpoint,results/final_paper/ablations/can_paired_pos20_bad80_support_audit_3split.csv,results/final_paper/ablations/can_paired_pos20_bad80_support_audit_3split.csv,Appendix-only heavy-contamination diagnostic with partial endpoint coverage.
can20,Can 20p/80b,diagnostic,classifier_top20,classifier top20,classifier,3,0,11/22/33,,60,41,19,60,240,0.683,0.683,0.079,,,,support_only,results/final_paper/ablations/can_paired_pos20_bad80_support_audit_3split.csv,,Appendix-only heavy-contamination diagnostic with partial endpoint coverage.
