task,evidence_status,split_scope,method,success_rate,successes,episodes,train_or_support_count,support_positive,support_bad,support_purity,source,note
Can 80p/80b,diagnostic_single_split,split seed 33 endpoint; split seeds 11/22 support-only,positive-only NN,0.980,49,50,80,72,8,0.900,results/final_paper/ablations/can_paired_balanced_80p80b_support_and_split33_endpoint_REPORT.md,balanced Can diagnostic; not a complete 3-split endpoint table
Can 80p/80b,diagnostic_single_split,split seed 33 endpoint; split seeds 11/22 support-only,TRIAGE-BC,0.860,43,50,40,39,1,0.975,results/final_paper/ablations/can_paired_balanced_80p80b_support_and_split33_endpoint_REPORT.md,balanced Can diagnostic; not a complete 3-split endpoint table
Can 40p/80b,primary_frozen_3split,"split seeds 11/22/33, pooled",all-demo BC,0.540,81,150,,,,,results/final_paper/tables/can_paired_pos40_bad80_final_endpoint_summary_REPORT.md,pooled all-demo cloning control
Can 40p/80b,primary_frozen_3split,"split seeds 11/22/33, pooled",weighted BC,0.600,90,150,360,120,240,0.333,results/final_paper/tables/can_paired_pos40_bad80_final_endpoint_summary_REPORT.md,full unlabeled pool with classifier-probability sampling
Can 40p/80b,primary_frozen_3split,"split seeds 11/22/33, pooled",positive-only NN,0.720,108,150,120,106,14,0.883,results/final_paper/tables/can_paired_pos40_bad80_final_endpoint_summary_REPORT.md,strong no-bad-label baseline
Can 40p/80b,primary_frozen_3split,"split seeds 11/22/33, pooled",TRIAGE-BC,0.660,99,150,190,110,80,0.579,results/final_paper/tables/can_paired_pos40_bad80_final_endpoint_summary_REPORT.md,router-v2 adaptive masscap
Can 40p/80b,primary_frozen_3split_diagnostic_oracle,"split seeds 11/22/33, pooled",all-positive oracle,0.980,147,150,270,,,1.000,results/final_paper/tables/can_paired_pos40_bad80_final_endpoint_summary_REPORT.md,diagnostic upper bound; uses hidden labels
Can 20p/80b,diagnostic_single_split,split seed 11 only,weighted BC,0.360,18,50,100,20,80,0.200,results/final_paper/ablations/can_paired_pos20_bad80_split11_endpoint_diagnostic_REPORT.md,heavier-contamination diagnostic; not a 3-split final table
Can 20p/80b,diagnostic_single_split,split seed 11 only,positive-only NN,0.680,34,50,20,17,3,0.850,results/final_paper/ablations/can_paired_pos20_bad80_split11_endpoint_diagnostic_REPORT.md,heavier-contamination diagnostic; not a 3-split final table
Can 20p/80b,diagnostic_single_split,split seed 11 only,TRIAGE-BC,0.660,33,50,50,20,30,0.400,results/final_paper/ablations/can_paired_pos20_bad80_split11_endpoint_diagnostic_REPORT.md,heavier-contamination diagnostic; not a 3-split final table
Lift MG,primary_frozen_3split,"split seeds 11/22/33, pooled",all-demo BC,0.207,31,150,,,,,results/final_paper/tables/lift_mg_mg_sparse_final_endpoint_summary_REPORT.md,pooled all-demo cloning control
Lift MG,primary_frozen_3split,"split seeds 11/22/33, pooled",weighted BC,0.620,93,150,4260,828,3432,0.194,results/final_paper/tables/lift_mg_mg_sparse_final_endpoint_summary_REPORT.md,full MG pool with classifier-probability sampling
Lift MG,primary_frozen_3split,"split seeds 11/22/33, pooled",positive-only NN,0.547,82,150,480,342,138,0.713,results/final_paper/tables/lift_mg_mg_sparse_final_endpoint_summary_REPORT.md,strong no-bad-label baseline
Lift MG,primary_frozen_3split,"split seeds 11/22/33, pooled",TRIAGE-BC,0.493,74,150,441,421,20,0.955,results/final_paper/tables/lift_mg_mg_sparse_final_endpoint_summary_REPORT.md,router-v2 pos-min branch
Lift MG,primary_frozen_3split_diagnostic_oracle,"split seeds 11/22/33, pooled",all-positive oracle,0.700,105,150,,,,,results/final_paper/tables/lift_mg_mg_sparse_final_endpoint_summary_REPORT.md,diagnostic upper bound; uses hidden labels
