setting_id,setting_label,candidate_id,candidate_label,candidate_family,split_count,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination,coverage_fraction,classifier_score_mean,pos_state_distance,action_conflict_distance,pos_state_action_distance,neg_state_action_distance,action_conflict_risk,bad_neighbor_risk,positive_distance_risk,negative_neighbor_risk,safe_margin_score,classifier_score_norm,action_conflict_risk_norm,bad_neighbor_risk_norm,positive_distance_risk_norm,safe_margin_score_norm,coverage_x_classifier,coverage_minus_action_risk,coverage_minus_bad_neighbor_risk,coverage_classifier_minus_action_risk,coverage_classifier_minus_bad_neighbor_risk,coverage_classifier_minus_both_risks,audit_oracle_score
can40,Can 40p/80b,classifier_top20,classifier top20,bad-aware hard,3,60,51,9,0.850,0.425,0.037,0.150,0.167,0.864,13.081,4.405,13.901,21.111,0.178,-1.115,-1.049,-1.035,1.115,0.832,0.560,0.334,0.406,0.666,0.139,-0.393,-0.167,0.439,0.664,0.551,0.388
can40,Can 40p/80b,classifier_top40,classifier top40,bad-aware hard,3,120,85,35,0.708,0.708,0.146,0.292,0.333,0.777,14.194,4.919,15.088,19.942,0.143,-0.849,-0.796,-0.787,0.849,0.610,0.419,0.563,0.610,0.437,0.203,-0.086,-0.229,0.524,0.380,0.452,0.562
can40,Can 40p/80b,classifier_top60,classifier top60,bad-aware hard,3,180,108,72,0.600,0.900,0.300,0.400,0.500,0.704,15.267,5.373,16.232,18.970,0.089,-0.607,-0.549,-0.582,0.607,0.423,0.209,0.771,0.810,0.229,0.212,0.291,-0.271,0.714,0.153,0.433,0.600
can40,Can 40p/80b,classifier_top80,classifier top80,bad-aware hard,3,240,116,124,0.483,0.967,0.517,0.517,0.667,0.635,16.229,5.886,17.311,17.821,0.085,-0.348,-0.313,-0.337,0.348,0.247,0.192,0.993,1.000,0.007,0.164,0.475,-0.326,0.721,-0.080,0.321,0.450
can40,Can 40p/80b,triage_existing,TRIAGE-BC current,bad-aware hard,3,190,110,80,0.579,0.917,0.333,0.421,0.528,0.694,15.476,5.575,16.508,18.728,0.109,-0.552,-0.498,-0.533,0.552,0.397,0.286,0.818,0.851,0.182,0.210,0.241,-0.290,0.638,0.107,0.373,0.583
can40,Can 40p/80b,hybrid_filter_mid_mean_fill_classifier_to40,hybrid filter mid mean fill classifier to40,hybrid,3,120,102,18,0.850,0.850,0.075,0.150,0.333,0.754,13.208,4.380,13.976,21.090,0.136,-1.102,-1.029,-1.034,1.102,0.552,0.392,0.345,0.422,0.655,0.184,-0.059,-0.012,0.493,0.540,0.517,0.775
can40,Can 40p/80b,hybrid_filter_mid_mean_pos40,hybrid filter mid mean pos40,hybrid,3,99,97,2,0.980,0.808,0.008,0.020,0.275,0.751,12.069,3.830,12.724,22.054,0.159,-1.356,-1.297,-1.241,1.356,0.543,0.485,0.127,0.205,0.873,0.149,-0.210,0.148,0.333,0.691,0.512,0.800
can40,Can 40p/80b,hybrid_filter_mid_minpos_maxneg_fill_classifier_to40,hybrid filter mid minpos maxneg fill classifier to40,hybrid,3,120,102,18,0.850,0.850,0.075,0.150,0.333,0.754,13.208,4.380,13.976,21.090,0.136,-1.102,-1.029,-1.034,1.102,0.552,0.392,0.345,0.422,0.655,0.184,-0.059,-0.012,0.493,0.540,0.517,0.775
can40,Can 40p/80b,hybrid_filter_mid_minpos_maxneg_pos40,hybrid filter mid minpos maxneg pos40,hybrid,3,97,96,1,0.990,0.800,0.004,0.010,0.269,0.755,12.018,3.805,12.669,22.129,0.157,-1.371,-1.309,-1.257,1.371,0.553,0.476,0.114,0.195,0.886,0.149,-0.206,0.155,0.347,0.708,0.527,0.796
can40,Can 40p/80b,hybrid_filter_pos_min_fill_classifier_to40,hybrid filter pos min fill classifier to40,hybrid,3,120,85,35,0.708,0.708,0.146,0.292,0.333,0.777,14.194,4.919,15.088,19.942,0.143,-0.849,-0.796,-0.787,0.849,0.610,0.419,0.563,0.610,0.437,0.203,-0.086,-0.229,0.524,0.380,0.452,0.562
