setting_id,setting_label,row_role,split_seed,candidate_id,candidate_family,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive,total_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination,classifier_score_mean,pos_state_distance,action_conflict_distance,pos_state_action_distance,neg_state_action_distance,action_conflict_risk,bad_neighbor_risk,positive_distance_risk,negative_neighbor_risk,safe_margin_score,source
can40,Can 40p/80b,primary,11,classifier_top20,bad-aware hard,20,15,5,40,80,0.750,0.375,0.062,0.250,0.849,13.645,4.076,14.263,19.950,-0.093,-0.911,-0.920,-0.796,0.911,results/final_paper/splits/can_paired_pos40_bad80_split11/split_indices.json
can40,Can 40p/80b,primary,11,classifier_top40,bad-aware hard,40,27,13,40,80,0.675,0.675,0.163,0.325,0.757,14.124,4.481,14.839,19.363,-0.032,-0.775,-0.795,-0.665,0.775,results/final_paper/splits/can_paired_pos40_bad80_split11/split_indices.json
can40,Can 40p/80b,primary,11,classifier_top60,bad-aware hard,60,37,23,40,80,0.617,0.925,0.287,0.383,0.692,14.831,4.913,15.643,18.970,-0.012,-0.636,-0.622,-0.578,0.636,results/final_paper/splits/can_paired_pos40_bad80_split11/split_indices.json
can40,Can 40p/80b,primary,11,classifier_top80,bad-aware hard,80,40,40,40,80,0.500,1.000,0.500,0.500,0.624,15.893,5.646,16.910,18.007,0.053,-0.377,-0.348,-0.363,0.377,results/final_paper/splits/can_paired_pos40_bad80_split11/split_indices.json
can40,Can 40p/80b,primary,11,hybrid_filter_mid_mean_fill_classifier_to40,hybrid,40,35,5,40,80,0.875,0.875,0.062,0.125,0.731,12.837,3.877,13.423,20.970,0.011,-1.127,-1.101,-1.024,1.127,results/final_paper/splits/can_paired_pos40_bad80_split11/split_indices.json
can40,Can 40p/80b,primary,11,hybrid_filter_mid_mean_pos40,hybrid,35,34,1,40,80,0.971,0.850,0.013,0.029,0.712,11.951,3.538,12.477,21.757,0.073,-1.328,-1.305,-1.200,1.328,results/final_paper/splits/can_paired_pos40_bad80_split11/split_indices.json
can40,Can 40p/80b,primary,11,hybrid_filter_mid_minpos_maxneg_fill_classifier_to40,hybrid,40,35,5,40,80,0.875,0.875,0.062,0.125,0.731,12.837,3.877,13.423,20.970,0.011,-1.127,-1.101,-1.024,1.127,results/final_paper/splits/can_paired_pos40_bad80_split11/split_indices.json
can40,Can 40p/80b,primary,11,hybrid_filter_mid_minpos_maxneg_pos40,hybrid,35,34,1,40,80,0.971,0.850,0.013,0.029,0.712,11.951,3.538,12.477,21.757,0.073,-1.328,-1.305,-1.200,1.328,results/final_paper/splits/can_paired_pos40_bad80_split11/split_indices.json
can40,Can 40p/80b,primary,11,hybrid_filter_pos_min_fill_classifier_to40,hybrid,40,27,13,40,80,0.675,0.675,0.163,0.325,0.757,14.124,4.481,14.839,19.363,-0.032,-0.775,-0.795,-0.665,0.775,results/final_paper/splits/can_paired_pos40_bad80_split11/split_indices.json
can40,Can 40p/80b,primary,11,hybrid_filter_pos_min_pos40,hybrid,8,8,0,40,80,1.000,0.200,0.000,0.000,0.916,11.181,2.798,11.550,21.781,-0.063,-1.439,-1.505,-1.205,1.439,results/final_paper/splits/can_paired_pos40_bad80_split11/split_indices.json
can40,Can 40p/80b,primary,11,hybrid_filter_pos_p10_fill_classifier_to40,hybrid,40,27,13,40,80,0.675,0.675,0.163,0.325,0.757,14.124,4.481,14.839,19.363,-0.032,-0.775,-0.795,-0.665,0.775,results/final_paper/splits/can_paired_pos40_bad80_split11/split_indices.json
can40,Can 40p/80b,primary,11,hybrid_filter_pos_p10_pos40,hybrid,7,7,0,40,80,1.000,0.175,0.000,0.000,0.928,10.984,2.591,11.305,21.628,-0.106,-1.450,-1.558,-1.171,1.450,results/final_paper/splits/can_paired_pos40_bad80_split11/split_indices.json
can40,Can 40p/80b,primary,11,hybrid_intersection_pos40_classifier40,hybrid,26,26,0,40,80,1.000,0.650,0.000,0.000,0.765,11.699,3.382,12.202,21.982,0.065,-1.387,-1.365,-1.250,1.387,results/final_paper/splits/can_paired_pos40_bad80_split11/split_indices.json
can40,Can 40p/80b,primary,11,hybrid_intersection_pos40_classifier80,hybrid,38,36,2,40,80,0.947,0.900,0.025,0.053,0.693,12.118,4.061,12.873,21.572,0.258,-1.261,-1.220,-1.158,1.261,results/final_paper/splits/can_paired_pos40_bad80_split11/split_indices.json
can40,Can 40p/80b,primary,11,hybrid_pareto_top40,hybrid,40,35,5,40,80,0.875,0.875,0.062,0.125,0.719,12.629,4.125,13.363,21.047,0.166,-1.143,-1.114,-1.041,1.143,results/final_paper/splits/can_paired_pos40_bad80_split11/split_indices.json
