rank,demo_id,hidden_label,score
1,demo_59,positive,0.9201218485832214
2,demo_131,positive,0.8985999822616577
3,demo_19,positive,0.8782857656478882
4,demo_159,positive,0.8656578063964844
5,demo_13,positive,0.8623853325843811
6,demo_57,positive,0.8605576753616333
7,demo_167,positive,0.8528037071228027
8,demo_145,positive,0.8477122783660889
9,demo_107,positive,0.8366934061050415
10,demo_3,positive,0.8233069777488708
11,demo_197,positive,0.8020069003105164
12,demo_51,positive,0.7978874444961548
13,demo_95,positive,0.7977859377861023
14,demo_193,positive,0.7953174710273743
15,demo_111,positive,0.794931173324585
16,demo_129,positive,0.778863251209259
17,demo_137,positive,0.7781591415405273
18,demo_62,bad,0.7163573503494263
19,demo_90,bad,0.7111817598342896
20,demo_165,positive,0.7071766257286072
21,demo_61,positive,0.7027206420898438
22,demo_184,bad,0.701099157333374
23,demo_43,positive,0.689286470413208
24,demo_27,positive,0.677781343460083
25,demo_135,positive,0.674210250377655
26,demo_58,bad,0.6637142300605774
27,demo_86,bad,0.650258481502533
28,demo_127,positive,0.6439832448959351
29,demo_115,positive,0.6210041642189026
30,demo_33,positive,0.5893762111663818
31,demo_9,positive,0.5869389772415161
32,demo_70,bad,0.5810611248016357
33,demo_54,bad,0.580858588218689
34,demo_18,bad,0.577294647693634
35,demo_83,positive,0.576107919216156
36,demo_113,positive,0.5578481554985046
37,demo_96,bad,0.5493036508560181
38,demo_166,bad,0.5343079566955566
39,demo_155,positive,0.5222591757774353
40,demo_168,bad,0.5084319114685059
41,demo_190,bad,0.5055453181266785
42,demo_93,positive,0.49944499135017395
43,demo_149,positive,0.49881091713905334
44,demo_146,bad,0.49848172068595886
45,demo_119,positive,0.48534196615219116
46,demo_161,positive,0.48521164059638977
