rank,demo_id,hidden_label,score
1,demo_199,positive,
2,demo_107,positive,
3,demo_47,positive,
4,demo_73,positive,
5,demo_41,positive,
6,demo_79,positive,
7,demo_139,positive,
8,demo_177,positive,
9,demo_111,positive,
10,demo_69,positive,
11,demo_133,positive,
12,demo_163,positive,
13,demo_59,positive,
14,demo_151,positive,
15,demo_123,positive,
16,demo_195,positive,
17,demo_179,positive,
18,demo_95,positive,
19,demo_117,positive,
20,demo_101,positive,
21,demo_193,positive,
22,demo_33,positive,
23,demo_167,positive,
24,demo_63,positive,
25,demo_75,positive,
26,demo_171,positive,
27,demo_198,bad,
28,demo_25,positive,
29,demo_86,bad,
30,demo_43,positive,
31,demo_9,positive,
32,demo_11,positive,
33,demo_54,bad,
34,demo_57,positive,
35,demo_19,positive,
36,demo_15,positive,
37,demo_106,bad,
38,demo_185,positive,
39,demo_115,positive,
40,demo_138,bad,
