seed,k,rule,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_score_min,selected_score_mean,selected_score_max
0,10,top_10,10,8,2,0.8,0.9978289008140564,0.9981437146663665,0.9984003901481628
0,15,top_15,15,12,3,0.8,0.9976232647895813,0.9979947249094645,0.9984003901481628
0,20,top_20,20,17,3,0.85,0.9974839091300964,0.9978789687156677,0.9984003901481628
0,25,top_25,25,21,4,0.84,0.9971779584884644,0.9977647066116333,0.9984003901481628
0,30,top_30,30,26,4,0.8666666666666667,0.996792197227478,0.9976278086503346,0.9984003901481628
0,35,top_35,35,30,5,0.8571428571428571,0.9966550469398499,0.9975022026470729,0.9984003901481628
0,40,top_40,40,35,5,0.875,0.9965271949768066,0.9973868191242218,0.9984003901481628
0,45,top_45,45,39,6,0.8666666666666667,0.9960623979568481,0.9972556882434421,0.9984003901481628
0,50,top_50,50,42,8,0.84,0.9957842826843262,0.9971176564693451,0.9984003901481628
0,60,top_60,60,49,11,0.8166666666666667,0.9949501752853394,0.9968153943618139,0.9984003901481628
0,80,top_80,80,61,19,0.7625,0.9941005706787109,0.9962522968649864,0.9984003901481628
