setting_label,split_seed,selected_method,best_baseline_method,initial_demo_id,selected_success_rate,best_baseline_success_rate,delta
Can 40p/80b,101,positive_nn_risk_union_top40,weighted_bc,demo_105,1.000,0.200,+0.800
Can 40p/80b,101,positive_nn_risk_union_top40,weighted_bc,demo_189,0.000,1.000,-1.000
Can 40p/80b,101,positive_nn_risk_union_top40,weighted_bc,demo_29,1.000,1.000,+0.000
Can 40p/80b,101,positive_nn_risk_union_top40,weighted_bc,demo_39,1.000,1.000,+0.000
Can 40p/80b,101,positive_nn_risk_union_top40,weighted_bc,demo_45,1.000,0.200,+0.800
Can 40p/80b,101,positive_nn_risk_union_top40,weighted_bc,demo_5,1.000,0.400,+0.600
Can 40p/80b,101,positive_nn_risk_union_top40,weighted_bc,demo_53,1.000,0.800,+0.200
Can 40p/80b,101,positive_nn_risk_union_top40,weighted_bc,demo_81,1.000,1.000,+0.000
Can 40p/80b,101,positive_nn_risk_union_top40,weighted_bc,demo_89,1.000,1.000,+0.000
Can 40p/80b,101,positive_nn_risk_union_top40,weighted_bc,demo_99,1.000,0.800,+0.200
Can 40p/80b,202,positive_nn_risk_union_top40,positive_only_nn,demo_105,1.000,0.400,+0.600
Can 40p/80b,202,positive_nn_risk_union_top40,positive_only_nn,demo_189,1.000,1.000,+0.000
Can 40p/80b,202,positive_nn_risk_union_top40,positive_only_nn,demo_29,1.000,1.000,+0.000
Can 40p/80b,202,positive_nn_risk_union_top40,positive_only_nn,demo_39,1.000,0.800,+0.200
Can 40p/80b,202,positive_nn_risk_union_top40,positive_only_nn,demo_45,0.200,0.800,-0.600
Can 40p/80b,202,positive_nn_risk_union_top40,positive_only_nn,demo_5,1.000,1.000,+0.000
Can 40p/80b,202,positive_nn_risk_union_top40,positive_only_nn,demo_53,1.000,0.800,+0.200
Can 40p/80b,202,positive_nn_risk_union_top40,positive_only_nn,demo_81,1.000,0.400,+0.600
Can 40p/80b,202,positive_nn_risk_union_top40,positive_only_nn,demo_89,1.000,1.000,+0.000
Can 40p/80b,202,positive_nn_risk_union_top40,positive_only_nn,demo_99,0.800,0.800,+0.000
