run_dir,method,raw_method,success_rate,avg_return,avg_len,source,split_path,seed,steps,checkpoint_step,source_transition_count,top_unlabeled_demos,selection_rule,selected_unlabeled_demo_count,selected_hidden_positive_demos,selected_unlabeled_transitions,feature_mode,eval_episodes,eval_horizon
results/robomimic_can_gmm_scarce_20k_mode,gmm_mode_labeled_positive,gmm_mode_labeled_positive,0.0,0.0,400.0,labeled_positive,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,20000,20000,1198,40,,0,0,0,obs,10,400
results/robomimic_can_gmm_scarce_seed1_ckpt50k_mode,gmm_mode_labeled_positive,gmm_mode_labeled_positive_step20000,0.1,0.1,371.8,labeled_positive,results/robomimic_inspection/can_paired_low_dim/split_indices.json,1,50000,20000,1198,40,,0,0,0,obs,10,400
results/robomimic_can_gmm_scarce_seed1_ckpt50k_mode,gmm_mode_labeled_positive,gmm_mode_labeled_positive_step50000,0.2,0.2,343.3,labeled_positive,results/robomimic_inspection/can_paired_low_dim/split_indices.json,1,50000,50000,1198,40,,0,0,0,obs,10,400
results/robomimic_can_gmm_scarce_seed2_ckpt50k_mode,gmm_mode_labeled_positive,gmm_mode_labeled_positive_step20000,0.1,0.1,369.5,labeled_positive,results/robomimic_inspection/can_paired_low_dim/split_indices.json,2,50000,20000,1198,40,,0,0,0,obs,10,400
results/robomimic_can_gmm_scarce_seed2_ckpt50k_mode,gmm_mode_labeled_positive,gmm_mode_labeled_positive_step50000,0.1,0.1,369.4,labeled_positive,results/robomimic_inspection/can_paired_low_dim/split_indices.json,2,50000,50000,1198,40,,0,0,0,obs,10,400
results/robomimic_can_gmm_top80_20k_mode,gmm_mode_positive_plus_classifier_top_unlabeled_demos,gmm_mode_positive_plus_classifier_top_unlabeled_demos,0.4,0.4,286.3,positive_plus_classifier_top_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,20000,20000,9027,80,,80,60,7829,obs,10,400
results/robomimic_can_gmm_top80_seed1_ckpt50k_mode,gmm_mode_positive_plus_classifier_top_unlabeled_demos,gmm_mode_positive_plus_classifier_top_unlabeled_demos_step20000,0.2,0.2,340.0,positive_plus_classifier_top_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,1,50000,20000,9133,80,,80,63,7935,obs,10,400
results/robomimic_can_gmm_top80_seed1_ckpt50k_mode,gmm_mode_positive_plus_classifier_top_unlabeled_demos,gmm_mode_positive_plus_classifier_top_unlabeled_demos_step50000,0.2,0.2,344.3,positive_plus_classifier_top_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,1,50000,50000,9133,80,,80,63,7935,obs,10,400
results/robomimic_can_gmm_top80_seed2_ckpt50k_mode,gmm_mode_positive_plus_classifier_top_unlabeled_demos,gmm_mode_positive_plus_classifier_top_unlabeled_demos_step20000,0.3,0.3,310.4,positive_plus_classifier_top_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,2,50000,20000,9057,80,,80,62,7859,obs,10,400
results/robomimic_can_gmm_top80_seed2_ckpt50k_mode,gmm_mode_positive_plus_classifier_top_unlabeled_demos,gmm_mode_positive_plus_classifier_top_unlabeled_demos_step50000,0.1,0.1,370.3,positive_plus_classifier_top_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,2,50000,50000,9057,80,,80,62,7859,obs,10,400
results/robomimic_can_gmm_gap_seed0_ckpt20k_mode,gmm_mode_positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_step5000,0.4,0.4,291.3,positive_plus_classifier_gap_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,20000,5000,3470,40,score_gap,23,23,2272,obs,10,400
results/robomimic_can_gmm_gap_seed0_ckpt20k_mode,gmm_mode_positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_step10000,0.2,0.2,337.7,positive_plus_classifier_gap_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,20000,10000,3470,40,score_gap,23,23,2272,obs,10,400
results/robomimic_can_gmm_gap_seed0_ckpt20k_mode,gmm_mode_positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos_step20000,0.1,0.1,368.3,positive_plus_classifier_gap_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,0,20000,20000,3470,40,score_gap,23,23,2272,obs,10,400
results/robomimic_can_gmm_gap_seed1_5k_mode,gmm_mode_positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos,0.4,0.4,285.3,positive_plus_classifier_gap_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,1,5000,5000,3512,40,score_gap,23,23,2314,obs,10,400
results/robomimic_can_gmm_gap_seed2_5k_mode,gmm_mode_positive_plus_classifier_gap_unlabeled_demos,gmm_mode_positive_plus_classifier_gap_unlabeled_demos,0.2,0.2,355.6,positive_plus_classifier_gap_unlabeled_demos,results/robomimic_inspection/can_paired_low_dim/split_indices.json,2,5000,5000,4028,40,score_gap,29,29,2830,obs,10,400
