run,checkpoint_epoch,checkpoint,filter_name,filter_key,num_sequences,num_batches_scored,loss,log_likelihood,rollout_success,rollout_return,rollout_len
weighted_seed0,200,results/robomimic_can_mg_official_bc_rnn_weighted_prob_seed0_train/can_mg_weighted_prob_official_bc_rnn_seed0/20260622123643/models/model_epoch_200.pth,labeled_positive,tri_can_mg_proxy_original_labeled_positive,1500,15,29419890.933333334,-29419890.933333334,0.4,0.4,293.7
weighted_seed0,200,results/robomimic_can_mg_official_bc_rnn_weighted_prob_seed0_train/can_mg_weighted_prob_official_bc_rnn_seed0/20260622123643/models/model_epoch_200.pth,labeled_negative,tri_can_mg_proxy_original_labeled_negative,1500,15,87436491.6,-87436491.6,0.4,0.4,293.7
weighted_seed0,200,results/robomimic_can_mg_official_bc_rnn_weighted_prob_seed0_train/can_mg_weighted_prob_official_bc_rnn_seed0/20260622123643/models/model_epoch_200.pth,valid_positive,tri_can_mg_proxy_original_valid_positive,3000,30,39870417.8,-39870417.8,0.4,0.4,293.7
weighted_seed0,200,results/robomimic_can_mg_official_bc_rnn_weighted_prob_seed0_train/can_mg_weighted_prob_official_bc_rnn_seed0/20260622123643/models/model_epoch_200.pth,valid_negative,tri_can_mg_proxy_original_valid_negative,3000,30,80141795.0,-80141795.0,0.4,0.4,293.7
weighted_seed1,200,results/robomimic_can_mg_official_bc_rnn_weighted_prob_seed1_train/can_mg_weighted_prob_official_bc_rnn_seed1/20260622125907/models/model_epoch_200.pth,labeled_positive,tri_can_mg_proxy_original_labeled_positive,1500,15,29541007.066666666,-29541007.066666666,0.3,0.3,352.5
weighted_seed1,200,results/robomimic_can_mg_official_bc_rnn_weighted_prob_seed1_train/can_mg_weighted_prob_official_bc_rnn_seed1/20260622125907/models/model_epoch_200.pth,labeled_negative,tri_can_mg_proxy_original_labeled_negative,1500,15,85718425.86666666,-85718425.86666666,0.3,0.3,352.5
weighted_seed1,200,results/robomimic_can_mg_official_bc_rnn_weighted_prob_seed1_train/can_mg_weighted_prob_official_bc_rnn_seed1/20260622125907/models/model_epoch_200.pth,valid_positive,tri_can_mg_proxy_original_valid_positive,3000,30,39980764.0,-39980764.0,0.3,0.3,352.5
weighted_seed1,200,results/robomimic_can_mg_official_bc_rnn_weighted_prob_seed1_train/can_mg_weighted_prob_official_bc_rnn_seed1/20260622125907/models/model_epoch_200.pth,valid_negative,tri_can_mg_proxy_original_valid_negative,3000,30,79626079.33333333,-79626079.33333333,0.3,0.3,352.5
weighted_seed2,200,results/robomimic_can_mg_official_bc_rnn_weighted_prob_seed2_train/can_mg_weighted_prob_official_bc_rnn_seed2/20260622130803/models/model_epoch_200.pth,labeled_positive,tri_can_mg_proxy_original_labeled_positive,1500,15,29525201.6,-29525201.6,0.3,0.3,346.8
weighted_seed2,200,results/robomimic_can_mg_official_bc_rnn_weighted_prob_seed2_train/can_mg_weighted_prob_official_bc_rnn_seed2/20260622130803/models/model_epoch_200.pth,labeled_negative,tri_can_mg_proxy_original_labeled_negative,1500,15,88076448.26666667,-88076448.26666667,0.3,0.3,346.8
weighted_seed2,200,results/robomimic_can_mg_official_bc_rnn_weighted_prob_seed2_train/can_mg_weighted_prob_official_bc_rnn_seed2/20260622130803/models/model_epoch_200.pth,valid_positive,tri_can_mg_proxy_original_valid_positive,3000,30,40311210.8,-40311210.8,0.3,0.3,346.8
weighted_seed2,200,results/robomimic_can_mg_official_bc_rnn_weighted_prob_seed2_train/can_mg_weighted_prob_official_bc_rnn_seed2/20260622130803/models/model_epoch_200.pth,valid_negative,tri_can_mg_proxy_original_valid_negative,3000,30,80199297.0,-80199297.0,0.3,0.3,346.8
posp10_seed0,200,results/robomimic_can_mg_official_bc_rnn_posp10_seed0_train/can_mg_posp10_official_bc_rnn_seed0/20260622122504/models/model_epoch_200.pth,labeled_positive,tri_can_mg_proxy_original_labeled_positive,1500,15,26326348.8,-26326348.8,0.3,0.3,309.3
posp10_seed0,200,results/robomimic_can_mg_official_bc_rnn_posp10_seed0_train/can_mg_posp10_official_bc_rnn_seed0/20260622122504/models/model_epoch_200.pth,labeled_negative,tri_can_mg_proxy_original_labeled_negative,1500,15,165217646.4,-165217646.4,0.3,0.3,309.3
posp10_seed0,200,results/robomimic_can_mg_official_bc_rnn_posp10_seed0_train/can_mg_posp10_official_bc_rnn_seed0/20260622122504/models/model_epoch_200.pth,valid_positive,tri_can_mg_proxy_original_valid_positive,3000,30,46693059.6,-46693059.6,0.3,0.3,309.3
posp10_seed0,200,results/robomimic_can_mg_official_bc_rnn_posp10_seed0_train/can_mg_posp10_official_bc_rnn_seed0/20260622122504/models/model_epoch_200.pth,valid_negative,tri_can_mg_proxy_original_valid_negative,3000,30,141431403.6,-141431403.6,0.3,0.3,309.3
posp10_seed1,200,results/robomimic_can_mg_official_bc_rnn_posp10_seed1_train/can_mg_posp10_official_bc_rnn_seed1/20260622140010/models/model_epoch_200.pth,labeled_positive,tri_can_mg_proxy_original_labeled_positive,1500,15,26521478.333333332,-26521478.333333332,0.1,0.1,366.9
posp10_seed1,200,results/robomimic_can_mg_official_bc_rnn_posp10_seed1_train/can_mg_posp10_official_bc_rnn_seed1/20260622140010/models/model_epoch_200.pth,labeled_negative,tri_can_mg_proxy_original_labeled_negative,1500,15,163151288.53333333,-163151288.53333333,0.1,0.1,366.9
posp10_seed1,200,results/robomimic_can_mg_official_bc_rnn_posp10_seed1_train/can_mg_posp10_official_bc_rnn_seed1/20260622140010/models/model_epoch_200.pth,valid_positive,tri_can_mg_proxy_original_valid_positive,3000,30,45558678.53333333,-45558678.53333333,0.1,0.1,366.9
posp10_seed1,200,results/robomimic_can_mg_official_bc_rnn_posp10_seed1_train/can_mg_posp10_official_bc_rnn_seed1/20260622140010/models/model_epoch_200.pth,valid_negative,tri_can_mg_proxy_original_valid_negative,3000,30,151576663.06666666,-151576663.06666666,0.1,0.1,366.9
posp10_seed2,200,results/robomimic_can_mg_official_bc_rnn_posp10_seed2_train/can_mg_posp10_official_bc_rnn_seed2/20260622140834/models/model_epoch_200.pth,labeled_positive,tri_can_mg_proxy_original_labeled_positive,1500,15,26445611.333333332,-26445611.333333332,0.1,0.1,367.0
posp10_seed2,200,results/robomimic_can_mg_official_bc_rnn_posp10_seed2_train/can_mg_posp10_official_bc_rnn_seed2/20260622140834/models/model_epoch_200.pth,labeled_negative,tri_can_mg_proxy_original_labeled_negative,1500,15,152148109.2,-152148109.2,0.1,0.1,367.0
posp10_seed2,200,results/robomimic_can_mg_official_bc_rnn_posp10_seed2_train/can_mg_posp10_official_bc_rnn_seed2/20260622140834/models/model_epoch_200.pth,valid_positive,tri_can_mg_proxy_original_valid_positive,3000,30,44421914.4,-44421914.4,0.1,0.1,367.0
posp10_seed2,200,results/robomimic_can_mg_official_bc_rnn_posp10_seed2_train/can_mg_posp10_official_bc_rnn_seed2/20260622140834/models/model_epoch_200.pth,valid_negative,tri_can_mg_proxy_original_valid_negative,3000,30,148155059.06666666,-148155059.06666666,0.1,0.1,367.0
allpositive_seed0,200,results/robomimic_can_mg_official_bc_rnn_allpositive_seed0_train/can_mg_allpositive_official_bc_rnn_seed0/20260622120405/models/model_epoch_200.pth,labeled_positive,tri_can_mg_proxy_original_labeled_positive,1500,15,24442544.333333332,-24442544.333333332,0.4,0.4,274.9
allpositive_seed0,200,results/robomimic_can_mg_official_bc_rnn_allpositive_seed0_train/can_mg_allpositive_official_bc_rnn_seed0/20260622120405/models/model_epoch_200.pth,labeled_negative,tri_can_mg_proxy_original_labeled_negative,1500,15,170995850.66666666,-170995850.66666666,0.4,0.4,274.9
allpositive_seed0,200,results/robomimic_can_mg_official_bc_rnn_allpositive_seed0_train/can_mg_allpositive_official_bc_rnn_seed0/20260622120405/models/model_epoch_200.pth,valid_positive,tri_can_mg_proxy_original_valid_positive,3000,30,40449161.53333333,-40449161.53333333,0.4,0.4,274.9
allpositive_seed0,200,results/robomimic_can_mg_official_bc_rnn_allpositive_seed0_train/can_mg_allpositive_official_bc_rnn_seed0/20260622120405/models/model_epoch_200.pth,valid_negative,tri_can_mg_proxy_original_valid_negative,3000,30,188305894.4,-188305894.4,0.4,0.4,274.9
allpositive_seed1,200,results/robomimic_can_mg_official_bc_rnn_allpositive_seed1_train/can_mg_allpositive_official_bc_rnn_seed1/20260622132412/models/model_epoch_200.pth,labeled_positive,tri_can_mg_proxy_original_labeled_positive,1500,15,24600052.6,-24600052.6,0.0,0.0,400.0
allpositive_seed1,200,results/robomimic_can_mg_official_bc_rnn_allpositive_seed1_train/can_mg_allpositive_official_bc_rnn_seed1/20260622132412/models/model_epoch_200.pth,labeled_negative,tri_can_mg_proxy_original_labeled_negative,1500,15,176116308.26666668,-176116308.26666668,0.0,0.0,400.0
allpositive_seed1,200,results/robomimic_can_mg_official_bc_rnn_allpositive_seed1_train/can_mg_allpositive_official_bc_rnn_seed1/20260622132412/models/model_epoch_200.pth,valid_positive,tri_can_mg_proxy_original_valid_positive,3000,30,39571856.46666667,-39571856.46666667,0.0,0.0,400.0
allpositive_seed1,200,results/robomimic_can_mg_official_bc_rnn_allpositive_seed1_train/can_mg_allpositive_official_bc_rnn_seed1/20260622132412/models/model_epoch_200.pth,valid_negative,tri_can_mg_proxy_original_valid_negative,3000,30,184597415.6,-184597415.6,0.0,0.0,400.0
allpositive_seed2,200,results/robomimic_can_mg_official_bc_rnn_allpositive_seed2_train/can_mg_allpositive_official_bc_rnn_seed2/20260622133230/models/model_epoch_200.pth,labeled_positive,tri_can_mg_proxy_original_labeled_positive,1500,15,23806442.2,-23806442.2,0.2,0.2,337.3
allpositive_seed2,200,results/robomimic_can_mg_official_bc_rnn_allpositive_seed2_train/can_mg_allpositive_official_bc_rnn_seed2/20260622133230/models/model_epoch_200.pth,labeled_negative,tri_can_mg_proxy_original_labeled_negative,1500,15,171775127.2,-171775127.2,0.2,0.2,337.3
allpositive_seed2,200,results/robomimic_can_mg_official_bc_rnn_allpositive_seed2_train/can_mg_allpositive_official_bc_rnn_seed2/20260622133230/models/model_epoch_200.pth,valid_positive,tri_can_mg_proxy_original_valid_positive,3000,30,39964746.0,-39964746.0,0.2,0.2,337.3
allpositive_seed2,200,results/robomimic_can_mg_official_bc_rnn_allpositive_seed2_train/can_mg_allpositive_official_bc_rnn_seed2/20260622133230/models/model_epoch_200.pth,valid_negative,tri_can_mg_proxy_original_valid_negative,3000,30,188177534.8,-188177534.8,0.2,0.2,337.3
alltrain_seed0,200,results/robomimic_can_mg_official_bc_rnn_alltrain_seed0_train/can_mg_alltrain_official_bc_rnn_seed0/20260622121230/models/model_epoch_200.pth,labeled_positive,tri_can_mg_proxy_original_labeled_positive,1500,15,33468480.133333333,-33468480.133333333,0.2,0.2,361.2
alltrain_seed0,200,results/robomimic_can_mg_official_bc_rnn_alltrain_seed0_train/can_mg_alltrain_official_bc_rnn_seed0/20260622121230/models/model_epoch_200.pth,labeled_negative,tri_can_mg_proxy_original_labeled_negative,1500,15,67658378.4,-67658378.4,0.2,0.2,361.2
alltrain_seed0,200,results/robomimic_can_mg_official_bc_rnn_alltrain_seed0_train/can_mg_alltrain_official_bc_rnn_seed0/20260622121230/models/model_epoch_200.pth,valid_positive,tri_can_mg_proxy_original_valid_positive,3000,30,41383477.333333336,-41383477.333333336,0.2,0.2,361.2
alltrain_seed0,200,results/robomimic_can_mg_official_bc_rnn_alltrain_seed0_train/can_mg_alltrain_official_bc_rnn_seed0/20260622121230/models/model_epoch_200.pth,valid_negative,tri_can_mg_proxy_original_valid_negative,3000,30,74121181.86666666,-74121181.86666666,0.2,0.2,361.2
alltrain_seed1,200,results/robomimic_can_mg_official_bc_rnn_alltrain_seed1_train/can_mg_alltrain_official_bc_rnn_seed1/20260622134036/models/model_epoch_200.pth,labeled_positive,tri_can_mg_proxy_original_labeled_positive,1500,15,35012513.733333334,-35012513.733333334,0.1,0.1,371.1
alltrain_seed1,200,results/robomimic_can_mg_official_bc_rnn_alltrain_seed1_train/can_mg_alltrain_official_bc_rnn_seed1/20260622134036/models/model_epoch_200.pth,labeled_negative,tri_can_mg_proxy_original_labeled_negative,1500,15,67593703.46666667,-67593703.46666667,0.1,0.1,371.1
alltrain_seed1,200,results/robomimic_can_mg_official_bc_rnn_alltrain_seed1_train/can_mg_alltrain_official_bc_rnn_seed1/20260622134036/models/model_epoch_200.pth,valid_positive,tri_can_mg_proxy_original_valid_positive,3000,30,41510471.333333336,-41510471.333333336,0.1,0.1,371.1
alltrain_seed1,200,results/robomimic_can_mg_official_bc_rnn_alltrain_seed1_train/can_mg_alltrain_official_bc_rnn_seed1/20260622134036/models/model_epoch_200.pth,valid_negative,tri_can_mg_proxy_original_valid_negative,3000,30,73606213.46666667,-73606213.46666667,0.1,0.1,371.1
alltrain_seed2,200,results/robomimic_can_mg_official_bc_rnn_alltrain_seed2_train/can_mg_alltrain_official_bc_rnn_seed2/20260622135041/models/model_epoch_200.pth,labeled_positive,tri_can_mg_proxy_original_labeled_positive,1500,15,34657440.666666664,-34657440.666666664,0.0,0.0,400.0
alltrain_seed2,200,results/robomimic_can_mg_official_bc_rnn_alltrain_seed2_train/can_mg_alltrain_official_bc_rnn_seed2/20260622135041/models/model_epoch_200.pth,labeled_negative,tri_can_mg_proxy_original_labeled_negative,1500,15,68179350.0,-68179350.0,0.0,0.0,400.0
alltrain_seed2,200,results/robomimic_can_mg_official_bc_rnn_alltrain_seed2_train/can_mg_alltrain_official_bc_rnn_seed2/20260622135041/models/model_epoch_200.pth,valid_positive,tri_can_mg_proxy_original_valid_positive,3000,30,41103927.93333333,-41103927.93333333,0.0,0.0,400.0
alltrain_seed2,200,results/robomimic_can_mg_official_bc_rnn_alltrain_seed2_train/can_mg_alltrain_official_bc_rnn_seed2/20260622135041/models/model_epoch_200.pth,valid_negative,tri_can_mg_proxy_original_valid_negative,3000,30,76951864.66666667,-76951864.66666667,0.0,0.0,400.0
