run,filter,selected_epoch,selected_log_likelihood,selected_loss,selected_rollout_success,rollout_best_epoch,rollout_best_success
weighted_seed0,labeled_positive,200,-29419890.933333334,29419890.933333334,0.4,200,0.4
weighted_seed0,labeled_negative,200,-87436491.6,87436491.6,0.4,200,0.4
weighted_seed0,valid_positive,200,-39870417.8,39870417.8,0.4,200,0.4
weighted_seed0,valid_negative,200,-80141795.0,80141795.0,0.4,200,0.4
weighted_seed1,labeled_positive,200,-29541007.066666666,29541007.066666666,0.3,200,0.3
weighted_seed1,labeled_negative,200,-85718425.86666666,85718425.86666666,0.3,200,0.3
weighted_seed1,valid_positive,200,-39980764.0,39980764.0,0.3,200,0.3
weighted_seed1,valid_negative,200,-79626079.33333333,79626079.33333333,0.3,200,0.3
weighted_seed2,labeled_positive,200,-29525201.6,29525201.6,0.3,200,0.3
weighted_seed2,labeled_negative,200,-88076448.26666667,88076448.26666667,0.3,200,0.3
weighted_seed2,valid_positive,200,-40311210.8,40311210.8,0.3,200,0.3
weighted_seed2,valid_negative,200,-80199297.0,80199297.0,0.3,200,0.3
posp10_seed0,labeled_positive,200,-26326348.8,26326348.8,0.3,200,0.3
posp10_seed0,labeled_negative,200,-165217646.4,165217646.4,0.3,200,0.3
posp10_seed0,valid_positive,200,-46693059.6,46693059.6,0.3,200,0.3
posp10_seed0,valid_negative,200,-141431403.6,141431403.6,0.3,200,0.3
posp10_seed1,labeled_positive,200,-26521478.333333332,26521478.333333332,0.1,200,0.1
posp10_seed1,labeled_negative,200,-163151288.53333333,163151288.53333333,0.1,200,0.1
posp10_seed1,valid_positive,200,-45558678.53333333,45558678.53333333,0.1,200,0.1
posp10_seed1,valid_negative,200,-151576663.06666666,151576663.06666666,0.1,200,0.1
posp10_seed2,labeled_positive,200,-26445611.333333332,26445611.333333332,0.1,200,0.1
posp10_seed2,labeled_negative,200,-152148109.2,152148109.2,0.1,200,0.1
posp10_seed2,valid_positive,200,-44421914.4,44421914.4,0.1,200,0.1
posp10_seed2,valid_negative,200,-148155059.06666666,148155059.06666666,0.1,200,0.1
allpositive_seed0,labeled_positive,200,-24442544.333333332,24442544.333333332,0.4,200,0.4
allpositive_seed0,labeled_negative,200,-170995850.66666666,170995850.66666666,0.4,200,0.4
allpositive_seed0,valid_positive,200,-40449161.53333333,40449161.53333333,0.4,200,0.4
allpositive_seed0,valid_negative,200,-188305894.4,188305894.4,0.4,200,0.4
allpositive_seed1,labeled_positive,200,-24600052.6,24600052.6,0.0,200,0.0
allpositive_seed1,labeled_negative,200,-176116308.26666668,176116308.26666668,0.0,200,0.0
allpositive_seed1,valid_positive,200,-39571856.46666667,39571856.46666667,0.0,200,0.0
allpositive_seed1,valid_negative,200,-184597415.6,184597415.6,0.0,200,0.0
allpositive_seed2,labeled_positive,200,-23806442.2,23806442.2,0.2,200,0.2
allpositive_seed2,labeled_negative,200,-171775127.2,171775127.2,0.2,200,0.2
allpositive_seed2,valid_positive,200,-39964746.0,39964746.0,0.2,200,0.2
allpositive_seed2,valid_negative,200,-188177534.8,188177534.8,0.2,200,0.2
alltrain_seed0,labeled_positive,200,-33468480.133333333,33468480.133333333,0.2,200,0.2
alltrain_seed0,labeled_negative,200,-67658378.4,67658378.4,0.2,200,0.2
alltrain_seed0,valid_positive,200,-41383477.333333336,41383477.333333336,0.2,200,0.2
alltrain_seed0,valid_negative,200,-74121181.86666666,74121181.86666666,0.2,200,0.2
alltrain_seed1,labeled_positive,200,-35012513.733333334,35012513.733333334,0.1,200,0.1
alltrain_seed1,labeled_negative,200,-67593703.46666667,67593703.46666667,0.1,200,0.1
alltrain_seed1,valid_positive,200,-41510471.333333336,41510471.333333336,0.1,200,0.1
alltrain_seed1,valid_negative,200,-73606213.46666667,73606213.46666667,0.1,200,0.1
alltrain_seed2,labeled_positive,200,-34657440.666666664,34657440.666666664,0.0,200,0.0
alltrain_seed2,labeled_negative,200,-68179350.0,68179350.0,0.0,200,0.0
alltrain_seed2,valid_positive,200,-41103927.93333333,41103927.93333333,0.0,200,0.0
alltrain_seed2,valid_negative,200,-76951864.66666667,76951864.66666667,0.0,200,0.0
