split,run,method,seed,rollout_success_20k,labeled_positive_ll,labeled_negative_ll,valid_positive_ll,valid_negative_ll,valid_contrastive_gap,labeled_contrastive_gap,valid_negative_rejection,labeled_negative_rejection
can_mg_original,weighted_seed0,weighted,0,0.400,-29419890.933,-87436491.600,-39870417.800,-80141795.000,40271377.200,58016600.667,80141795.000,87436491.600
can_mg_original,weighted_seed1,weighted,1,0.300,-29541007.067,-85718425.867,-39980764.000,-79626079.333,39645315.333,56177418.800,79626079.333,85718425.867
can_mg_original,weighted_seed2,weighted,2,0.300,-29525201.600,-88076448.267,-40311210.800,-80199297.000,39888086.200,58551246.667,80199297.000,88076448.267
can_mg_original,posp10_seed0,posp10,0,0.300,-26326348.800,-165217646.400,-46693059.600,-141431403.600,94738344.000,138891297.600,141431403.600,165217646.400
can_mg_original,posp10_seed1,posp10,1,0.100,-26521478.333,-163151288.533,-45558678.533,-151576663.067,106017984.533,136629810.200,151576663.067,163151288.533
can_mg_original,posp10_seed2,posp10,2,0.100,-26445611.333,-152148109.200,-44421914.400,-148155059.067,103733144.667,125702497.867,148155059.067,152148109.200
can_mg_original,allpositive_seed0,allpositive,0,0.400,-24442544.333,-170995850.667,-40449161.533,-188305894.400,147856732.867,146553306.333,188305894.400,170995850.667
can_mg_original,allpositive_seed1,allpositive,1,0.000,-24600052.600,-176116308.267,-39571856.467,-184597415.600,145025559.133,151516255.667,184597415.600,176116308.267
can_mg_original,allpositive_seed2,allpositive,2,0.200,-23806442.200,-171775127.200,-39964746.000,-188177534.800,148212788.800,147968685.000,188177534.800,171775127.200
can_mg_original,alltrain_seed0,alltrain,0,0.200,-33468480.133,-67658378.400,-41383477.333,-74121181.867,32737704.533,34189898.267,74121181.867,67658378.400
can_mg_original,alltrain_seed1,alltrain,1,0.100,-35012513.733,-67593703.467,-41510471.333,-73606213.467,32095742.133,32581189.733,73606213.467,67593703.467
can_mg_original,alltrain_seed2,alltrain,2,0.000,-34657440.667,-68179350.000,-41103927.933,-76951864.667,35847936.733,33521909.333,76951864.667,68179350.000
can_mg_shuffle42,hard_posmin_seed0,hard_posmin,0,0.100,-22915293.000,-193200925.867,-42532609.667,-141598784.400,99066174.733,170285632.867,141598784.400,193200925.867
can_mg_shuffle42,soft_weighted_seed0,soft_weighted,0,0.100,-27205224.467,-92123728.267,-38082416.600,-73233349.200,35150932.600,64918503.800,73233349.200,92123728.267
