method,seed,epoch,success,avg_return,avg_len,eval_episodes
posonly_nn_top160,0,50,0.5,0.5,93.8,10
posonly_nn_top160,0,100,0.2,0.2,124.6,10
posonly_nn_top160,0,150,0.2,0.2,125.8,10
posonly_nn_top160,0,200,0.5,0.5,91.1,10
posonly_nn_top160,1,50,0.5,0.5,95.9,10
posonly_nn_top160,1,100,0.2,0.2,125.4,10
posonly_nn_top160,1,150,0.4,0.4,102.4,10
posonly_nn_top160,1,200,0.6,0.6,82.9,10
posonly_nn_top160,2,50,0.2,0.2,129.2,10
posonly_nn_top160,2,100,0.5,0.5,90.2,10
posonly_nn_top160,2,150,0.4,0.4,110.1,10
posonly_nn_top160,2,200,0.6,0.6,82.8,10
bad_aware_pos_min,0,50,0.2,0.2,125.8,10
bad_aware_pos_min,0,100,0.4,0.4,108.4,10
bad_aware_pos_min,0,150,0.6,0.6,82.3,10
bad_aware_pos_min,0,200,0.8,0.8,59.0,10
bad_aware_pos_min,1,50,0.2,0.2,126.1,10
bad_aware_pos_min,1,100,0.2,0.2,125.6,10
bad_aware_pos_min,1,150,0.5,0.5,92.3,10
bad_aware_pos_min,1,200,0.4,0.4,106.4,10
bad_aware_pos_min,2,50,0.0,0.0,150.0,10
bad_aware_pos_min,2,100,0.2,0.2,127.8,10
bad_aware_pos_min,2,150,0.5,0.5,93.5,10
bad_aware_pos_min,2,200,0.8,0.8,61.4,10
