seed,k,rule,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_score_min,selected_score_mean,selected_score_max
0,10,top_10,10,9,1,0.9,0.9955326318740845,0.9959319293498993,0.9962522387504578
0,15,top_15,15,14,1,0.9333333333333333,0.9949145317077637,0.9956608812014262,0.9962522387504578
0,20,top_20,20,18,2,0.9,0.9944009184837341,0.9953997194766998,0.9962522387504578
0,25,top_25,25,23,2,0.92,0.9939098954200745,0.9951346826553344,0.9962522387504578
0,30,top_30,30,28,2,0.9333333333333333,0.9936063885688782,0.994899332523346,0.9962522387504578
0,35,top_35,35,32,3,0.9142857142857143,0.9928684234619141,0.994652955872672,0.9962522387504578
0,40,top_40,40,37,3,0.925,0.9922643899917603,0.9943751931190491,0.9962522387504578
0,45,top_45,45,41,4,0.9111111111111111,0.9919041991233826,0.9941138558917575,0.9962522387504578
0,50,top_50,50,46,4,0.92,0.9915750026702881,0.9938771915435791,0.9962522387504578
0,60,top_60,60,56,4,0.9333333333333333,0.9896427392959595,0.9933117081721624,0.9962522387504578
0,80,top_80,80,76,4,0.95,0.9848161935806274,0.9917897239327431,0.9962522387504578
1,10,top_10,10,9,1,0.9,0.9958319067955017,0.996288138628006,0.9970357418060303
1,15,top_15,15,14,1,0.9333333333333333,0.9950490593910217,0.9959323167800903,0.9970357418060303
1,20,top_20,20,18,2,0.9,0.9944502711296082,0.9956223130226135,0.9970357418060303
1,25,top_25,25,22,3,0.88,0.9939917922019958,0.9953280711174011,0.9970357418060303
1,30,top_30,30,27,3,0.9,0.9935030341148376,0.9950552642345428,0.9970357418060303
1,35,top_35,35,32,3,0.9142857142857143,0.9932816624641418,0.9948144623211452,0.9970357418060303
1,40,top_40,40,37,3,0.925,0.9927080273628235,0.994583010673523,0.9970357418060303
1,45,top_45,45,41,4,0.9111111111111111,0.9921611547470093,0.9943355467584398,0.9970357418060303
1,50,top_50,50,46,4,0.92,0.9909242987632751,0.9940102052688599,0.9970357418060303
1,60,top_60,60,56,4,0.9333333333333333,0.9896944165229797,0.9933545231819153,0.9970357418060303
1,80,top_80,80,76,4,0.95,0.9846130609512329,0.991761376708746,0.9970357418060303
2,10,top_10,10,8,2,0.8,0.9962970018386841,0.9968385457992553,0.9976260662078857
2,15,top_15,15,13,2,0.8666666666666667,0.9951364398002625,0.9964811046918233,0.9976260662078857
2,20,top_20,20,18,2,0.9,0.9947426319122314,0.9960842609405518,0.9976260662078857
2,25,top_25,25,23,2,0.92,0.9940990209579468,0.9957461905479431,0.9976260662078857
2,30,top_30,30,28,2,0.9333333333333333,0.9936918020248413,0.9954227904478709,0.9976260662078857
2,35,top_35,35,32,3,0.9142857142857143,0.9932863116264343,0.9951301200049264,0.9976260662078857
2,40,top_40,40,37,3,0.925,0.9926027655601501,0.9948613330721855,0.9976260662078857
2,45,top_45,45,42,3,0.9333333333333333,0.9923916459083557,0.9946002417140537,0.9976260662078857
2,50,top_50,50,47,3,0.94,0.9917643070220947,0.9943401622772217,0.9976260662078857
2,60,top_60,60,57,3,0.95,0.9893595576286316,0.9937511175870896,0.9976260662078857
2,80,top_80,80,76,4,0.95,0.9861407279968262,0.9922358937561512,0.9976260662078857
