seed,k,rule,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_score_min,selected_score_mean,selected_score_max
0,10,top_10,10,10,0,1.0,0.7937403917312622,0.8354160010814666,0.8895639777183533
0,15,top_15,15,15,0,1.0,0.7669606804847717,0.815278438727061,0.8895639777183533
0,20,top_20,20,19,1,0.95,0.6928479671478271,0.7916865736246109,0.8895639777183533
0,25,top_25,25,24,1,0.96,0.6392323970794678,0.7650835514068604,0.8895639777183533
0,30,top_30,30,26,4,0.8666666666666667,0.6092357039451599,0.7414593636989594,0.8895639777183533
0,35,top_35,35,29,6,0.8285714285714286,0.5828765034675598,0.7203920449529375,0.8895639777183533
0,40,top_40,40,32,8,0.8,0.538707971572876,0.699086207151413,0.8895639777183533
0,45,top_45,45,34,11,0.7555555555555555,0.5215802788734436,0.679795237382253,0.8895639777183533
0,50,top_50,50,36,14,0.72,0.5008993148803711,0.6628337442874909,0.8895639777183533
0,60,top_60,60,38,22,0.6333333333333333,0.44381123781204224,0.6315146500865618,0.8895639777183533
0,80,top_80,80,40,40,0.5,0.3068496286869049,0.5671716582030057,0.8895639777183533
1,10,top_10,10,10,0,1.0,0.8053953051567078,0.853666615486145,0.8971351385116577
1,15,top_15,15,15,0,1.0,0.7674674391746521,0.8286056915918986,0.8971351385116577
1,20,top_20,20,20,0,1.0,0.7060146927833557,0.8043810188770294,0.8971351385116577
1,25,top_25,25,24,1,0.96,0.657663881778717,0.7793350553512574,0.8971351385116577
1,30,top_30,30,27,3,0.9,0.6246169209480286,0.7544273455937703,0.8971351385116577
1,35,top_35,35,28,7,0.8,0.6025866270065308,0.7336867656026568,0.8971351385116577
1,40,top_40,40,31,9,0.775,0.5499919652938843,0.7142155140638351,0.8971351385116577
1,45,top_45,45,33,12,0.7333333333333333,0.5196459293365479,0.6938108060095045,0.8971351385116577
1,50,top_50,50,35,15,0.7,0.4977059066295624,0.6751643651723862,0.8971351385116577
1,60,top_60,60,39,21,0.65,0.4619506001472473,0.6413670892516772,0.8971351385116577
1,80,top_80,80,40,40,0.5,0.3266757130622864,0.5813701584935188,0.8971351385116577
2,10,top_10,10,10,0,1.0,0.7743727564811707,0.821108078956604,0.8756449818611145
2,15,top_15,15,15,0,1.0,0.7656659483909607,0.8039943019549052,0.8756449818611145
2,20,top_20,20,20,0,1.0,0.7220404744148254,0.7875964790582657,0.8756449818611145
2,25,top_25,25,25,0,1.0,0.6395098567008972,0.7620900678634643,0.8756449818611145
2,30,top_30,30,29,1,0.9666666666666667,0.5893158316612244,0.7350380738576253,0.8756449818611145
2,35,top_35,35,31,4,0.8857142857142857,0.5605761408805847,0.7116183127675738,0.8756449818611145
2,40,top_40,40,34,6,0.85,0.5301059484481812,0.6901658356189728,0.8756449818611145
2,45,top_45,45,34,11,0.7555555555555555,0.4986603856086731,0.6698691566785177,0.8756449818611145
2,50,top_50,50,38,12,0.76,0.4719942510128021,0.6512811750173568,0.8756449818611145
2,60,top_60,60,40,20,0.6666666666666666,0.4338891804218292,0.6180565848946571,0.8756449818611145
2,80,top_80,80,40,40,0.5,0.26173892617225647,0.553310801833868,0.8756449818611145
