seed,threshold_name,threshold,score_gap,effective_min,rule,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_score_min,selected_score_mean,selected_score_max
0,score_gap_posx,,0.02679196000099182,40,score_gap_posx,48,20,28,0.4166666666666667,0.39424049854278564,0.5738737713545561,0.8730028867721558
0,adaptive_posmass,33.66219061535829,0.02679196000099182,40,adaptive_posmass_precision_top_posx2,20,15,5,0.75,0.5957435965538025,0.7043061882257462,0.8730028867721558
0,adaptive_masscap,33.66219061535829,0.02679196000099182,40,adaptive_masscap_precision_top_posx2,20,15,5,0.75,0.5957435965538025,0.7043061882257462,0.8730028867721558
0,top_posx2,,,20,top_posx2,20,15,5,0.75,0.5957435965538025,0.7043061882257462,0.8730028867721558
0,top_posx3,,,30,top_posx3,30,17,13,0.5666666666666667,0.5059322118759155,0.6477442761262258,0.8730028867721558
0,top_posx4,,,40,top_posx4,40,19,21,0.475,0.450987845659256,0.6051088683307171,0.8730028867721558
0,neg_max,0.27151086926460266,,,neg_max,61,20,41,0.32786885245901637,0.2738710641860962,0.522436366706598,0.8730028867721558
0,mid_mean,0.5012403264641762,,,mid_mean,31,17,14,0.5483870967741935,0.5016624927520752,0.6430319605335113,0.8730028867721558
0,mid_minpos_maxneg,0.5000014156103134,,,mid_minpos_maxneg,31,17,14,0.5483870967741935,0.5016624927520752,0.6430319605335113,0.8730028867721558
0,pos_p10,0.7452331840991974,,,pos_p10,7,7,0,1.0,0.7699688673019409,0.8164477603776115,0.8730028867721558
0,pos_min,0.7284919619560242,,,pos_min,7,7,0,1.0,0.7699688673019409,0.8164477603776115,0.8730028867721558
1,score_gap_posx,,0.040567755699157715,40,score_gap_posx,56,20,36,0.35714285714285715,0.371846079826355,0.562893522637231,0.8997684121131897
1,adaptive_posmass,35.942045368214536,0.040567755699157715,40,adaptive_posmass_precision_top_posx2,20,14,6,0.7,0.6220568418502808,0.7227058947086334,0.8997684121131897
1,adaptive_masscap,35.942045368214536,0.040567755699157715,40,adaptive_masscap_precision_top_posx2,20,14,6,0.7,0.6220568418502808,0.7227058947086334,0.8997684121131897
1,top_posx2,,,20,top_posx2,20,14,6,0.7,0.6220568418502808,0.7227058947086334,0.8997684121131897
1,top_posx3,,,30,top_posx3,30,17,13,0.5666666666666667,0.5139013528823853,0.6689517478148143,0.8997684121131897
1,top_posx4,,,40,top_posx4,40,20,20,0.5,0.4547276496887207,0.6217430531978607,0.8997684121131897
1,neg_max,0.27346083521842957,,,neg_max,64,20,44,0.3125,0.2912919819355011,0.5310565452091396,0.8997684121131897
1,mid_mean,0.4937632244080305,,,mid_mean,32,17,15,0.53125,0.500531792640686,0.6587600558996201,0.8997684121131897
1,mid_minpos_maxneg,0.5118567198514938,,,mid_minpos_maxneg,30,17,13,0.5666666666666667,0.5139013528823853,0.6689517478148143,0.8997684121131897
1,pos_p10,0.7523802936077117,,,pos_p10,6,6,0,1.0,0.7742140889167786,0.8431760470072428,0.8997684121131897
1,pos_min,0.7502526044845581,,,pos_min,6,6,0,1.0,0.7742140889167786,0.8431760470072428,0.8997684121131897
2,score_gap_posx,,0.04179564118385315,40,score_gap_posx,53,20,33,0.37735849056603776,0.3667387068271637,0.5487633904196182,0.8656965494155884
2,adaptive_posmass,32.578908241960555,0.04179564118385315,40,adaptive_posmass_precision_top_posx2,20,16,4,0.8,0.5687277913093567,0.6982992708683013,0.8656965494155884
2,adaptive_masscap,32.578908241960555,0.04179564118385315,40,adaptive_masscap_precision_top_posx2,20,16,4,0.8,0.5687277913093567,0.6982992708683013,0.8656965494155884
2,top_posx2,,,20,top_posx2,20,16,4,0.8,0.5687277913093567,0.6982992708683013,0.8656965494155884
2,top_posx3,,,30,top_posx3,30,18,12,0.6,0.4927940368652344,0.6383858899275462,0.8656965494155884
2,top_posx4,,,40,top_posx4,40,20,20,0.5,0.44320663809776306,0.5948922455310821,0.8656965494155884
2,neg_max,0.30666953325271606,,,neg_max,55,20,35,0.36363636363636365,0.31967511773109436,0.5405286886475303,0.8656965494155884
2,mid_mean,0.5000565521419048,,,mid_mean,29,17,12,0.5862068965517241,0.5008618235588074,0.6434062986538328,0.8656965494155884
2,mid_minpos_maxneg,0.5268887579441071,,,mid_minpos_maxneg,23,16,7,0.6956521739130435,0.5336697101593018,0.6774560912795689,0.8656965494155884
2,pos_p10,0.7494403779506683,,,pos_p10,7,7,0,1.0,0.773655354976654,0.8092336058616638,0.8656965494155884
2,pos_min,0.747107982635498,,,pos_min,7,7,0,1.0,0.773655354976654,0.8092336058616638,0.8656965494155884
