seed,threshold_name,threshold,score_gap,effective_min,rule,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_score_min,selected_score_mean,selected_score_max
0,score_gap_posx,,0.24891966581344604,20,score_gap_posx,36,35,1,0.9722222222222222,0.8157942891120911,0.9571660972303815,0.99875408411026
0,adaptive_posmass,39.800175552737535,0.24891966581344604,20,adaptive_posmass_coverage_gap,36,35,1,0.9722222222222222,0.8157942891120911,0.9571660972303815,0.99875408411026
0,adaptive_masscap,39.800175552737535,0.24891966581344604,20,adaptive_masscap_coverage_gap,36,35,1,0.9722222222222222,0.8157942891120911,0.9571660972303815,0.99875408411026
0,top_posx2,,,20,top_posx2,20,20,0,1.0,0.9738874435424805,0.9889661490917205,0.99875408411026
0,top_posx3,,,30,top_posx3,30,30,0,1.0,0.9167231321334839,0.9744982481002807,0.99875408411026
0,top_posx4,,,40,top_posx4,40,35,5,0.875,0.4330582916736603,0.9125764451920986,0.99875408411026
0,neg_max,0.04050464183092117,,,neg_max,61,35,26,0.5737704918032787,0.04074171185493469,0.6493042830805309,0.99875408411026
0,mid_mean,0.5012660661828704,,,mid_mean,39,35,4,0.8974358974358975,0.5188443064689636,0.9248717824618021,0.99875408411026
0,mid_minpos_maxneg,0.5048655606806278,,,mid_minpos_maxneg,39,35,4,0.8974358974358975,0.5188443064689636,0.9248717824618021,0.99875408411026
0,pos_p10,0.9793258547782898,,,pos_p10,16,16,0,1.0,0.9841430187225342,0.992194838821888,0.99875408411026
0,pos_min,0.9692264795303345,,,pos_min,20,20,0,1.0,0.9738874435424805,0.9889661490917205,0.99875408411026
1,score_gap_posx,,0.2111726999282837,20,score_gap_posx,36,35,1,0.9722222222222222,0.7579656839370728,0.9600243717432022,0.9987578988075256
1,adaptive_posmass,39.77444783456648,0.2111726999282837,20,adaptive_posmass_coverage_gap,36,35,1,0.9722222222222222,0.7579656839370728,0.9600243717432022,0.9987578988075256
1,adaptive_masscap,39.77444783456648,0.2111726999282837,20,adaptive_masscap_coverage_gap,36,35,1,0.9722222222222222,0.7579656839370728,0.9600243717432022,0.9987578988075256
1,top_posx2,,,20,top_posx2,20,20,0,1.0,0.9752383232116699,0.9899661868810654,0.9987578988075256
1,top_posx3,,,30,top_posx3,30,30,0,1.0,0.9188196659088135,0.9765418966611227,0.9987578988075256
1,top_posx4,,,40,top_posx4,40,35,5,0.875,0.4834095239639282,0.9144998006522655,0.9987578988075256
1,neg_max,0.03956684470176697,,,neg_max,59,35,24,0.5932203389830508,0.0411728136241436,0.6703639209775601,0.9987578988075256
1,mid_mean,0.501305598136969,,,mid_mean,38,35,3,0.9210526315789473,0.5037893056869507,0.9371436755908163,0.9987578988075256
1,mid_minpos_maxneg,0.5071429759263992,,,mid_minpos_maxneg,37,35,2,0.9459459459459459,0.5467929840087891,0.9488559558584884,0.9987578988075256
1,pos_p10,0.9795791625976562,,,pos_p10,18,18,0,1.0,0.9814640879631042,0.991429348786672,0.9987578988075256
1,pos_min,0.9747191071510315,,,pos_min,20,20,0,1.0,0.9752383232116699,0.9899661868810654,0.9987578988075256
2,score_gap_posx,,0.15118557214736938,20,score_gap_posx,36,35,1,0.9722222222222222,0.8072832822799683,0.9542350471019745,0.9987214803695679
2,adaptive_posmass,40.09275284030903,0.15118557214736938,20,adaptive_posmass_coverage_gap,36,35,1,0.9722222222222222,0.8072832822799683,0.9542350471019745,0.9987214803695679
2,adaptive_masscap,40.09275284030903,0.15118557214736938,20,adaptive_masscap_coverage_gap,36,35,1,0.9722222222222222,0.8072832822799683,0.9542350471019745,0.9987214803695679
2,top_posx2,,,20,top_posx2,20,20,0,1.0,0.9632331132888794,0.9856757700443268,0.9987214803695679
2,top_posx3,,,30,top_posx3,30,30,0,1.0,0.9227500557899475,0.9709236284097036,0.9987214803695679
2,top_posx4,,,40,top_posx4,40,35,5,0.875,0.4920707941055298,0.9150201067328453,0.9987214803695679
2,neg_max,0.04417676851153374,,,neg_max,59,35,24,0.5932203389830508,0.06207519397139549,0.6756053183669761,0.9987214803695679
2,mid_mean,0.5011750239762478,,,mid_mean,39,35,4,0.8974358974358975,0.5477408170700073,0.9258649609027765,0.9987214803695679
2,mid_minpos_maxneg,0.5083238240331411,,,mid_minpos_maxneg,39,35,4,0.8974358974358975,0.5477408170700073,0.9258649609027765,0.9987214803695679
2,pos_p10,0.9774851083755494,,,pos_p10,15,15,0,1.0,0.9787235856056213,0.99056001106898,0.9987214803695679
2,pos_min,0.9724708795547485,,,pos_min,18,18,0,1.0,0.9727969765663147,0.9878176318274604,0.9987214803695679
