method_id,label,kind,train_epochs,eval_episodes,success_count,success_rate,avg_len,delta_vs_positive
positive_only_nn_top40,Positive-only NN top40,baseline,200,20,17,0.850,148.2,0
weighted_bc_full_pool,Weighted BC full pool,baseline,200,20,13,0.650,211.5,-4
candidate_c_sequence_mask_e200,Candidate C sequence-mask e200,previous_candidate,200,20,16,0.800,167.7,-1
cau_action_conflict_b005_m05_e200,CAU action-conflict beta0.05 margin0.5 e200,previous_sota_candidate,200,20,16,0.800,170.3,-1
demo_pref_refcenter_w1_e20,Demo-DPO ref-centered w1 e20,previous_sota_candidate,20,20,16,0.800,163.4,-1
iql_awbc_norm_topq_e100,IQL-AWBC norm-topq e100,previous_iql_candidate,100,20,4,0.200,341.3,-13
candidate_v_output_anchor_e5,Candidate V output-anchor e5,previous_anchor_candidate,5,20,15,0.750,180.6,-2
candidate_v_output_anchor_e10,Candidate V output-anchor e10,previous_anchor_candidate,10,20,18,0.900,135.6,1
candidate_v_output_anchor_e15,Candidate V output-anchor e15,previous_anchor_candidate,15,20,15,0.750,179.1,-2
candidate_v_output_anchor_e20,Candidate V output-anchor e20,previous_anchor_candidate,20,20,16,0.800,164.2,-1
anchored_iql_awbc_w10_e5,Anchored IQL-AWBC w10 e5,sota_candidate_6_anchor_followup,5,20,10,0.500,248.2,-7
anchored_iql_awbc_w10_e10,Anchored IQL-AWBC w10 e10,sota_candidate_6_anchor_followup,10,20,13,0.650,207.4,-4
anchored_iql_awbc_w10_e15,Anchored IQL-AWBC w10 e15,sota_candidate_6_anchor_followup,15,20,11,0.550,235.0,-6
anchored_iql_awbc_w10_e20,Anchored IQL-AWBC w10 e20,sota_candidate_6_anchor_followup,20,20,12,0.600,229.8,-5
