selector_mode,heldout_split,feature_group,target,alpha,threshold,train_episodes,train_positive_successes,train_cau_successes,train_oracle_switch_successes,train_routed_successes,train_delta_vs_positive,train_delta_vs_cau,train_gains_vs_positive,train_losses_vs_positive,train_opened_episodes,test_episodes,test_positive_successes,test_cau_successes,test_oracle_switch_successes,test_routed_successes,test_delta_vs_positive,test_delta_vs_cau,test_gains_vs_positive,test_losses_vs_positive,test_opened_episodes
safe_zero_loss,101,all_policy_features,delta,0.1,0.081157,320,250,263,291,278,28,15,28,0,128,50,19,33,40,29,10,-4,17,7,40
safe_zero_loss,202,policy_only,loss_averse,0.01,0.090886,320,229,254,285,264,35,10,35,0,95,50,40,42,46,42,2,0,6,4,50
safe_zero_loss,303,all_policy_features,loss_averse,0.01,0.052438,320,233,256,285,267,34,11,34,0,95,50,36,40,46,36,0,-4,0,0,0
safe_zero_loss,404,policy_only,loss_averse,10.0,0.023282,320,230,261,290,258,28,-3,28,0,94,50,39,35,41,35,-4,0,2,6,35
safe_zero_loss,505,policy_only,loss_averse,100.0,0.062645,320,229,253,285,242,13,-11,13,0,30,50,40,43,46,40,0,-3,0,0,0
safe_zero_loss,606,policy_only,loss_averse,1.0,0.060361,350,253,281,313,272,19,-9,19,0,70,20,16,15,18,16,0,1,0,0,0
safe_zero_loss,707,all_policy_features,delta,100.0,0.162091,320,233,246,281,250,17,4,17,0,31,50,36,50,50,36,0,-14,0,0,0
safe_zero_loss,808,policy_only,loss_averse,1.0,0.018421,320,226,258,287,253,27,-5,27,0,95,50,43,38,44,43,0,5,0,0,0
safe_zero_loss,fresh909,policy_only,loss_averse,10.0,0.008421,370,269,296,331,298,29,2,29,0,110,20,15,9,16,9,-6,0,1,7,20
best_delta,101,all_policy_features,delta,0.1,0.081157,320,250,263,291,278,28,15,28,0,128,50,19,33,40,29,10,-4,17,7,40
best_delta,202,policy_only,loss_averse,1.0,-0.009963,320,229,254,285,272,43,18,44,1,125,50,40,42,46,42,2,0,6,4,50
best_delta,303,all_policy_features,loss_averse,10.0,-0.168674,320,233,256,285,275,42,19,47,5,188,50,36,40,46,36,0,-4,0,0,0
best_delta,404,policy_only,delta,0.01,0.064325,320,230,261,290,276,46,15,56,10,191,50,39,35,41,35,-4,0,2,6,50
best_delta,505,all_policy_features,delta,0.01,0.153843,320,229,253,285,269,40,16,43,3,96,50,40,43,46,40,0,-3,0,0,0
best_delta,606,policy_only,delta,0.1,0.092636,350,253,281,313,295,42,14,50,8,175,20,16,15,18,17,1,2,1,0,2
best_delta,707,all_policy_features,delta,0.01,0.002005,320,233,246,281,267,34,21,44,10,156,50,36,50,50,36,0,-14,0,0,0
best_delta,808,all_policy_features,loss_averse,0.01,-0.081239,320,226,258,287,271,45,13,47,2,156,50,43,38,44,43,0,5,0,0,0
best_delta,fresh909,policy_only,delta,0.1,0.073700,370,269,296,331,312,43,16,51,8,184,20,15,9,16,9,-6,0,1,7,20
